time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
5.16667,"(0.251678, 0.0702465, -8.72547e-06)","(-0.0449485, 0.978932, 0.199177)","(-0.0154521, -0.999301, -0.034039)","(0.185256, -0.980126, -0.0709526)","(0, 0, 0)","(-0.093071, -0.935342, 0.341283)","(-0.0234955, -0.987787, -0.154029)","(0.172092, -0.984712, -0.0269446)","(-0.00997325, -0.925808, -0.377864)","(0.309768, -0.893357, -0.325511)",0
5.2,"(0.258267, 0.0698465, -1.47996e-05)","(-0.0479837, 0.982188, 0.181668)","(0.0523529, -0.998089, -0.0328125)","(0.171126, -0.984321, -0.0427563)","(0, 0, 0)","(-0.0772154, -0.942656, 0.324711)","(-0.0153706, -0.987454, -0.157158)","(0.115284, -0.992656, -0.036665)","(0.0162644, -0.929815, -0.367667)","(0.27226, -0.904216, -0.329042)",0
5.23333,"(0.263692, 0.0695131, -1.79266e-05)","(-0.051482, 0.985916, 0.159118)","(0.128684, -0.991419, -0.0229768)","(0.169201, -0.985576, -0.00341857)","(0, 0, 0)","(-0.0776455, -0.949334, 0.304525)","(0.0203567, -0.986685, -0.161364)","(0.0306249, -0.998004, -0.0552203)","(0.0686023, -0.938037, -0.339677)","(0.214006, -0.917104, -0.336337)",0
5.26667,"(0.270476, 0.0688475, -1.65496e-05)","(-0.0500738, 0.988513, 0.142598)","(0.174077, -0.984555, -0.0186607)","(0.173898, -0.984325, 0.0294064)","(0, 0, 0)","(-0.0957337, -0.953094, 0.287136)","(0.0244375, -0.986256, -0.163406)","(-0.0301722, -0.996614, -0.076485)","(0.0774206, -0.942957, -0.323788)","(0.173128, -0.920663, -0.349867)",0
5.3,"(0.276108, 0.0680957, -1.58044e-05)","(-0.0412407, 0.98694, 0.155722)","(0.188613, -0.982035, -0.00565408)","(0.184995, -0.982256, 0.0308239)","(0, 0, 0)","(-0.125073, -0.950812, 0.283397)","(-0.0093979, -0.985713, -0.168172)","(-0.0274871, -0.994766, -0.098417)","(0.0386444, -0.943987, -0.327711)","(0.184561, -0.911934, -0.366488)",0
5.33333,"(0.279853, 0.067331, -1.27721e-05)","(-0.0295929, 0.984162, 0.174783)","(0, 0, 0)","(0.183562, -0.982919, 0.0132455)","(0, 0, 0)","(-0.14829, -0.945658, 0.289381)","(-0.074152, -0.982787, -0.16921)","(0.00626035, -0.994103, -0.108255)","(-0.0276507, -0.934545, -0.35477)","(0.224013, -0.897013, -0.381032)",0
5.36667,"(0.284854, 0.0657288, -9.54308e-06)","(-0.0217856, 0.981883, 0.188232)","(0, 0, 0)","(0.180474, -0.983578, -0.00199225)","(0, 0, 0)","(-0.163471, -0.94225, 0.292304)","(-0.108914, -0.979651, -0.168589)","(0.0176692, -0.993499, -0.112465)","(-0.0466358, -0.926995, -0.372164)","(0.240415, -0.891146, -0.384785)",0
5.4,"(0.291397, 0.0641517, -5.80186e-06)","(-0.015337, 0.980082, 0.198)","(-0.102583, -0.994277, -0.029842)","(0.198536, -0.979837, -0.0224435)","(0, 0, 0)","(-0.172788, -0.937995, 0.300516)","(-0.130568, -0.976461, -0.171683)","(0.0155396, -0.991562, -0.128697)","(-0.0698537, -0.923688, -0.376724)","(0.23728, -0.893444, -0.381388)",0
5.43333,"(0.297369, 0.0629557, -6.47902e-06)","(-0.0106182, 0.976392, 0.215744)","(-0.132061, -0.990059, -0.0483998)","(0.223807, -0.97318, -0.0532054)","(0, 0, 0)","(-0.171003, -0.934764, 0.311408)","(-0.150657, -0.972231, -0.179081)","(0.00702159, -0.989554, -0.143993)","(-0.096507, -0.916267, -0.38877)","(0.215688, -0.896754, -0.386407)",0
5.46667,"(0.304483, 0.0619074, -6.4264e-06)","(-0.00766585, 0.97054, 0.240819)","(-0.136498, -0.988021, -0.0719912)","(0.243102, -0.966024, -0.0877419)","(0, 0, 0)","(-0.162354, -0.930168, 0.329286)","(-0.16801, -0.967487, -0.189053)","(-0.000156289, -0.988049, -0.154137)","(-0.117529, -0.904965, -0.408932)","(0.194045, -0.899327, -0.391865)",0
5.5,"(0.274034, 0.0396484, -2.61702e-08)","(-0.0104819, 0.965229, 0.261195)","(-0.147919, -0.983195, -0.106992)","(0.248088, -0.961868, -0.115164)","(0, 0, 0)","(-0.152438, -0.92895, 0.337365)","(-0.165415, -0.964834, -0.204286)","(-0.0158431, -0.988818, -0.148285)","(-0.106196, -0.884406, -0.454475)","(0.164846, -0.895333, -0.413769)",0
5.53333,"(0.240411, 0.0215313, 1.16498e-05)","(0.0314196, 0.97129, 0.235815)","(-0.267155, -0.959167, -0.0928769)","(0.591233, -0.806501, 0.000553804)","(0, 0, 0)","(0.267277, -0.836696, 0.478021)","(-0.323592, -0.942235, 0.0865004)","(0.026314, -0.988658, 0.147859)","(0.0376307, -0.909038, -0.415011)","(0.175343, -0.916211, -0.360295)",1
5.83333,"(0.206049, 0.00380404, 1.69796e-05)","(0.0885445, 0.99561, 0.0303323)","(-0.368439, -0.929603, -0.00953976)","(0.778157, -0.49874, 0.381747)","(0, 0, 0)","(0.525633, -0.369634, 0.766212)","(-0.518749, -0.770937, 0.369534)","(0.0476103, -0.889916, 0.453633)","(0.217345, -0.896417, -0.386262)","(0.201883, -0.895902, -0.395732)",0
5.86667,"(0.171081, -0.012309, 2.17932e-05)","(0.148158, 0.985068, -0.0876948)","(-0.465313, -0.885024, 0.0147234)","(0.828072, -0.142818, 0.542125)","(0, 0, 0)","(0.653604, 0.132447, 0.745158)","(-0.629449, -0.513928, 0.582814)","(0.0759901, -0.730335, 0.678849)","(0.380168, -0.866921, -0.322367)","(0.211531, -0.885017, -0.414728)",0
5.9,"(0.134928, -0.0281994, 3.10736e-05)","(0.178254, 0.983324, 0.0360608)","(-0.443547, -0.890621, -0.100303)","(0.761588, -0.160779, 0.627801)","(-0.289146, -0.956987, 0.0238809)","(0.245106, 0.263494, 0.933003)","(-0.683725, -0.506752, 0.525093)","(0.031236, -0.816097, 0.57707)","(0.392254, -0.833268, -0.389616)","(0.19545, -0.832275, -0.518766)",0
5.93333,"(0.135686, -0.0146139, 4.04972e-05)","(0.190481, 0.907539, 0.374286)","(-0.432974, -0.885409, -0.169067)","(0.799624, -0.128261, 0.586644)","(-0.292884, -0.940995, 0.16955)","(0.0121541, 0.339107, 0.940669)","(-0.730877, -0.531559, 0.428095)","(-0.0067031, -0.909692, 0.41523)","(0.383698, -0.810192, -0.44313)","(0.179333, -0.789371, -0.587139)",0
5.96667,"(0.13541, -0.00389587, 4.87193e-05)","(0.190697, 0.784512, 0.590064)","(-0.396025, -0.897677, -0.193234)","(0.777069, -0.0874519, 0.623311)","(-0.319888, -0.932948, 0.165165)","(-0.439988, 0.229743, 0.868118)","(-0.741688, -0.576082, 0.343553)","(-0.0806259, -0.971457, 0.223093)","(0.356637, -0.792609, -0.494552)","(0.238585, -0.703523, -0.669427)",0
6,"(0.142831, 0.00780721, 4.60035e-05)","(0.199728, 0.784715, 0.586797)","(-0.347373, -0.930821, -0.113601)","(0.753855, -0.119431, 0.646095)","(-0.357866, -0.908448, 0.215996)","(-0.614406, 0.0851908, 0.784377)","(-0.755128, -0.604137, 0.254557)","(-0.135784, -0.978967, 0.152271)","(0.367649, -0.781391, -0.504245)","(0.358503, -0.614978, -0.702337)",0
6.03333,"(0.141573, 0.0192596, 4.49409e-05)","(0.124898, 0.708929, 0.694132)","(-0.412468, -0.839254, -0.354292)","(0.982521, -0.020596, 0.185007)","(-0.444387, -0.829648, -0.337942)","(-0.833988, 0.331701, 0.440951)","(-0.63688, -0.725764, 0.260096)","(-0.0466334, -0.993541, 0.103448)","(0.182057, -0.844396, -0.503836)","(0.392287, -0.692716, -0.605191)",1
6.2,"(0.139058, 0.0311533, 4.20098e-05)","(0.0121886, 0.836526, 0.547792)","(-0.428503, -0.897277, -0.106202)","(0.805857, -0.592022, 0.0102306)","(-0.297862, -0.917732, 0.262768)","(-0.6075, 0.401326, 0.685479)","(-0.470784, -0.861878, 0.188492)","(0.100942, -0.990579, 0.0925428)","(0.00214752, -0.89477, -0.446522)","(0.412481, -0.798345, -0.438754)",0
6.23333,"(0.136138, 0.0354831, 3.44842e-05)","(-0.124833, 0.90721, 0.40173)","(-0.345757, -0.933658, 0.0934578)","(0.312457, -0.88307, -0.350083)","(0.452113, -0.0754391, 0.888765)","(-0.198151, -0.210533, 0.957294)","(-0.271518, -0.952493, 0.13797)","(0.268848, -0.960615, 0.0702912)","(-0.135742, -0.915853, -0.377873)","(0.354777, -0.891151, -0.282812)",0
6.26667,"(0.133558, 0.0400164, 1.80239e-05)","(-0.156716, 0.980951, 0.114783)","(-0.0721718, -0.937387, 0.34073)","(0.182762, -0.980483, 0.0724621)","(0.307891, -0.302434, 0.902074)","(-0.252263, -0.568271, 0.783218)","(-0.208456, -0.974751, 0.0800426)","(0.301588, -0.949234, 0.0894412)","(-0.0755332, -0.940341, -0.331742)","(0.410949, -0.885003, -0.21884)",0
6.3,"(0.123125, 0.0466054, 1.41018e-05)","(-0.18105, 0.979472, 0.0886368)","(0.0395471, -0.987815, 0.150521)","(0.185181, -0.982323, -0.0273606)","(0.373917, -0.469255, 0.799991)","(-0.202734, -0.733486, 0.648766)","(-0.158809, -0.984853, 0.0696018)","(0.223558, -0.966801, 0.123769)","(-0.0105916, -0.962226, -0.272047)","(0.376526, -0.914445, -0.148386)",0
6.33333,"(0.121722, 0.0529356, 1.04104e-05)","(-0.19901, 0.979989, 0.00396103)","(0.0867364, -0.994145, 0.0644381)","(0.199029, -0.979984, 0.00424999)","(0.426427, -0.548839, 0.718983)","(-0.26176, -0.704317, 0.659863)","(-0.103004, -0.988675, 0.10914)","(0.1095, -0.979106, 0.17135)","(0.0500189, -0.983975, -0.171149)","(0.292848, -0.954612, -0.0543646)",0
6.36667,"(0.121719, 0.0598085, 7.68322e-06)","(-0.228185, 0.972036, -0.0554693)","(0.0803083, -0.992688, 0.0901119)","(0.177093, -0.983787, 0.0283116)","(0.384164, -0.536543, 0.751358)","(-0.230554, -0.601018, 0.76526)","(-0.0399763, -0.989061, 0.141989)","(0.0213953, -0.979996, 0.197865)","(0.111275, -0.990345, -0.0826774)","(0.212888, -0.977007, -0.0116285)",0
