time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.9,"(0.00177373, -0.021641, 6.88694e-06)","(-0.0600076, 0.979007, 0.194794)","(-0.179298, -0.977387, 0.112105)","(-0.251984, -0.967222, -0.0313885)","(-0.0265617, -0.999628, 0.00623893)","(0.186778, -0.962164, 0.198379)","(0.13252, -0.989818, -0.0519573)","(-0.0585769, -0.997781, -0.0316517)","(-0.296551, -0.949621, -0.101378)","(-0.00654642, -0.973112, -0.230237)",0
0.933333,"(0.00189112, -0.018505, 3.92571e-06)","(-0.0386838, 0.979294, 0.198712)","(-0.214194, -0.967012, 0.13787)","(-0.291632, -0.9556, -0.0421935)","(-0.0582873, -0.998293, -0.00382975)","(0.148897, -0.967329, 0.205196)","(0.180031, -0.981414, -0.0664495)","(-0.033315, -0.997592, -0.0608365)","(-0.349664, -0.921494, -0.169069)","(-0.125482, -0.963732, -0.235532)",0
0.966667,"(0.000849509, -0.0139462, 1.13156e-06)","(-0.0151985, 0.978793, 0.204288)","(-0.275551, -0.954005, 0.118096)","(-0.334325, -0.941131, -0.0499938)","(-0.0696171, -0.997467, -0.0146159)","(0.105256, -0.96963, 0.22077)","(0.228341, -0.971495, -0.0637066)","(-0.0385244, -0.996409, -0.0754027)","(-0.371429, -0.903313, -0.214629)","(-0.200507, -0.957107, -0.209147)",0
1,"(-0.000445974, -0.00912747, 3.3807e-06)","(0.0180617, 0.976558, 0.214495)","(-0.306133, -0.948458, 0.0819145)","(-0.349067, -0.934695, -0.0670589)","(-0.0788909, -0.996881, 0.00221886)","(0.0410073, -0.956037, 0.290364)","(0.270487, -0.962179, -0.0323802)","(-0.0811515, -0.993317, -0.0820721)","(-0.302126, -0.92353, -0.236246)","(-0.231326, -0.951169, -0.204367)",0
1.03333,"(-0.00193439, -0.00469711, 1.98931e-06)","(0.0539201, 0.979301, 0.195097)","(-0.330348, -0.943751, -0.0142787)","(-0.36494, -0.926531, -0.0914217)","(-0.103534, -0.992922, 0.0581964)","(-0.00090026, -0.944988, 0.327104)","(0.295934, -0.955141, 0.0113535)","(-0.136621, -0.989507, -0.0470149)","(-0.202557, -0.952459, -0.227578)","(-0.241611, -0.946639, -0.213303)",0
1.06667,"(-0.00344079, -0.000945771, 1.10297e-06)","(0.0705982, 0.984675, 0.159471)","(-0.320166, -0.943906, -0.0808432)","(-0.309283, -0.942484, -0.126757)","(-0.131661, -0.980146, 0.148256)","(-0.0451476, -0.908043, 0.416437)","(0.254195, -0.965156, 0.0621221)","(-0.15426, -0.987913, 0.0152255)","(-0.101007, -0.958519, -0.266532)","(-0.277173, -0.916984, -0.286907)",0
1.1,"(-0.00400426, 0.00132838, -1.27754e-06)","(0.066535, 0.989119, 0.131215)","(-0.290172, -0.947674, -0.133097)","(-0.225006, -0.961222, -0.159451)","(-0.142885, -0.95915, 0.244163)","(-0.0303957, -0.882746, 0.468867)","(0.182071, -0.981305, 0.0623721)","(-0.153016, -0.986056, 0.0654134)","(-0.0550972, -0.941427, -0.332685)","(-0.297646, -0.888789, -0.348513)",0
1.13333,"(-0.00400426, 0.00132838, -1.27754e-06)","(0.0458481, 0.991353, 0.122955)","(-0.251147, -0.959106, -0.130543)","(-0.123547, -0.976274, -0.177837)","(-0.153174, -0.938206, 0.310334)","(0.00610371, -0.888905, 0.458052)","(0.10291, -0.992922, 0.0592974)","(-0.142, -0.986771, 0.0782196)","(-0.0082687, -0.914993, -0.403385)","(-0.302518, -0.862712, -0.40523)",0
1.16667,"(-0.00400426, 0.00132838, -1.27754e-06)","(0.0320796, 0.988882, 0.145199)","(-0.212565, -0.966939, -0.140871)","(-0.0810692, -0.978386, -0.190234)","(-0.161692, -0.930562, 0.328497)","(0.0263482, -0.896493, 0.442273)","(0.0867964, -0.995133, 0.0466604)","(-0.153664, -0.985698, 0.0691913)","(0.0580403, -0.906514, -0.418166)","(-0.284434, -0.851458, -0.440587)",0
1.2,"(-0.00381365, 0.00389513, -7.14603e-06)","(0.0177518, 0.985089, 0.17113)","(-0.174947, -0.971422, -0.160416)","(-0.0539404, -0.977698, -0.202969)","(-0.167049, -0.92809, 0.332783)","(0.0644971, -0.912228, 0.404575)","(0.0978626, -0.993102, 0.0645868)","(-0.168206, -0.984314, 0.0532184)","(0.119785, -0.91113, -0.394328)","(-0.265075, -0.843581, -0.467017)",0
