time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.380363,"(0.07835, -0.027241, -0.06743)","(0.027881, 0.989808, 0.139656)","(-0.485135, -0.794639, 0.364957)","(0.177711, -0.55311, -0.813934)","(0.502839, 0.486057, 0.714774)","(0.695854, -0.631019, -0.342932)","(-0.13193, -0.813351, 0.566617)","(0.021657, -0.92214, 0.38625)","(-0.25838, -0.862548, -0.43503)","(-0.014731, -0.844777, -0.534916)",
1.425613,"(0.080444, -0.028971, -0.066376)","(0.029014, 0.989775, 0.139657)","(-0.453916, -0.793421, 0.405516)","(0.214005, -0.557843, -0.801881)","(0.548549, 0.460221, 0.698063)","(0.738142, -0.583981, -0.337807)","(-0.144464, -0.810362, 0.567841)","(0.026693, -0.921387, 0.387728)","(-0.252378, -0.859229, -0.445007)","(-0.027676, -0.837742, -0.545364)",
1.470139,"(0.081158, -0.029652, -0.064309)","(0.029453, 0.989762, 0.139655)","(-0.427016, -0.790421, 0.439194)","(0.257505, -0.563145, -0.785213)","(0.589882, 0.416396, 0.691848)","(0.776926, -0.540196, -0.323379)","(-0.155449, -0.810368, 0.564924)","(0.034713, -0.922002, 0.385626)","(-0.244263, -0.856179, -0.455294)","(-0.0398, -0.830996, -0.554853)",
1.51503,"(0.080446, -0.029266, -0.061256)","(0.029231, 0.989768, 0.139661)","(-0.403552, -0.788333, 0.46441)","(0.304127, -0.568261, -0.764582)","(0.623052, 0.358857, 0.695002)","(0.811561, -0.501203, -0.300275)","(-0.164195, -0.813489, 0.557921)","(0.045163, -0.924015, 0.37968)","(-0.23457, -0.853558, -0.465206)","(-0.050412, -0.824971, -0.562923)",
1.561119,"(0.07818, -0.027837, -0.057329)","(0.028346, 0.989794, 0.139658)","(-0.382159, -0.788149, 0.482469)","(0.352858, -0.573206, -0.739545)","(0.647697, 0.288296, 0.705247)","(0.843247, -0.465585, -0.268636)","(-0.170326, -0.819632, 0.546986)","(0.058056, -0.927247, 0.369922)","(-0.223334, -0.851575, -0.474281)","(-0.059268, -0.819877, -0.569464)",
1.608383,"(0.074266, -0.025284, -0.052285)","(0.026742, 0.989839, 0.139655)","(-0.363376, -0.79014, 0.493596)","(0.402308, -0.578165, -0.709841)","(0.662043, 0.204544, 0.721014)","(0.872513, -0.432086, -0.228083)","(-0.173591, -0.829083, 0.531496)","(0.073447, -0.931695, 0.355739)","(-0.210553, -0.850325, -0.482301)","(-0.066095, -0.815965, -0.57431)",
1.655518,"(0.068591, -0.021669, -0.046273)","(0.024374, 0.9899, 0.139656)","(-0.348529, -0.793923, 0.498211)","(0.450279, -0.583285, -0.676038)","(0.66355, 0.109246, 0.740113)","(0.899113, -0.399661, -0.178512)","(-0.17307, -0.841601, 0.51162)","(0.091048, -0.936948, 0.337401)","(-0.196862, -0.849989, -0.488635)","(-0.070174, -0.813717, -0.57701)",
1.703186,"(0.061342, -0.017347, -0.039639)","(0.021296, 0.989971, 0.139654)","(-0.337652, -0.799612, 0.4966)","(0.493727, -0.588622, -0.640124)","(0.65088, 0.007766, 0.759141)","(0.921987, -0.367764, -0.1212)","(-0.168673, -0.856068, 0.488567)","(0.110077, -0.942186, 0.316494)","(-0.182883, -0.85066, -0.492881)","(-0.071064, -0.81314, -0.577714)",
1.750847,"(0.052564, -0.01274, -0.032642)","(0.017488, 0.990047, 0.139649)","(-0.333046, -0.804068, 0.492499)","(0.531892, -0.595028, -0.602522)","(0.622926, -0.094311, 0.776575)","(0.941205, -0.333219, -0.055654)","(-0.160509, -0.871428, 0.463519)","(0.130365, -0.946771, 0.29433)","(-0.168708, -0.85211, -0.495426)","(-0.068629, -0.813965, -0.576845)",
1.800148,"(0.042574, -0.008349, -0.025555)","(0.013067, 0.990115, 0.13965)","(-0.333803, -0.807514, 0.486309)","(0.561872, -0.60289, -0.566413)","(0.58304, -0.192613, 0.789281)","(0.955638, -0.293899, 0.019463)","(-0.149004, -0.886526, 0.438028)","(0.150886, -0.950178, 0.272755)","(-0.154886, -0.853892, -0.496869)","(-0.062614, -0.81555, -0.575289)",
1.847557,"(0.031327, -0.004528, -0.018402)","(0.007923, 0.99017, 0.139643)","(-0.340793, -0.80908, 0.478801)","(0.578042, -0.614839, -0.536507)","(0.53216, -0.283633, 0.797721)","(0.963392, -0.244147, 0.110762)","(-0.134283, -0.900784, 0.412984)","(0.17317, -0.951961, 0.252551)","(-0.141295, -0.855445, -0.498247)","(-0.054411, -0.817357, -0.573556)",
1.89431,"(0.020015, -0.001864, -0.011754)","(0.002569, 0.990199, 0.139641)","(-0.353588, -0.808764, 0.469976)","(0.581262, -0.629123, -0.516081)","(0.478277, -0.357353, 0.802216)","(0.959956, -0.188196, 0.207526)","(-0.117616, -0.912702, 0.391333)","(0.19466, -0.951988, 0.236277)","(-0.129833, -0.855926, -0.500533)","(-0.044637, -0.818554, -0.572693)",
1.940178,"(0.008774, -0.000364, -0.005172)","(-0.002976, 0.990198, 0.139639)","(-0.372861, -0.807381, 0.457287)","(0.579722, -0.641978, -0.501784)","(0.425491, -0.414676, 0.804364)","(0.9437, -0.13033, 0.304047)","(-0.100778, -0.922461, 0.372706)","(0.21557, -0.950619, 0.223279)","(-0.119037, -0.855001, -0.504781)","(-0.033867, -0.818696, -0.573228)",
1.985909,"(-0.00201, -0.000067, 0.001151)","(-0.008614, 0.990171, 0.139595)","(-0.398345, -0.8049, 0.439838)","(0.58261, -0.647126, -0.491725)","(0.377497, -0.455913, 0.806002)","(0.914708, -0.079415, 0.396236)","(-0.083638, -0.930004, 0.357906)","(0.235559, -0.947965, 0.214185)","(-0.109961, -0.852322, -0.511327)","(-0.022746, -0.817576, -0.575371)",
2.031532,"(-0.012637, -0.000778, 0.00719)","(-0.014209, 0.990102, 0.139633)","(-0.430814, -0.799661, 0.418261)","(0.591605, -0.646536, -0.481658)","(0.332433, -0.48458, 0.809117)","(0.875642, -0.036111, 0.481609)","(-0.065666, -0.936195, 0.345293)","(0.255448, -0.944171, 0.208059)","(-0.102124, -0.848716, -0.518895)","(-0.011244, -0.815051, -0.579281)",
2.0765,"(-0.023121, -0.002634, 0.012699)","(-0.019847, 0.990005, 0.139629)","(-0.471073, -0.79014, 0.392134)","(0.605243, -0.643325, -0.468844)","(0.291854, -0.498968, 0.815998)","(0.830381, 0.001428, 0.557194)","(-0.046317, -0.940824, 0.335715)","(0.275667, -0.938924, 0.205983)","(-0.095637, -0.844107, -0.527576)","(0.000422, -0.810548, -0.585672)",
2.121742,"(-0.033022, -0.005452, 0.01748)","(-0.025231, 0.989883, 0.139626)","(-0.516441, -0.776287, 0.361478)","(0.619822, -0.639698, -0.454542)","(0.25731, -0.499132, 0.827441)","(0.782337, 0.029759, 0.622144)","(-0.026427, -0.943879, 0.329231)","(0.2952, -0.932653, 0.207402)","(-0.090883, -0.838762, -0.53686)","(0.0119, -0.804601, -0.593697)",
2.166443,"(-0.042333, -0.009179, 0.021507)","(-0.03033, 0.98974, 0.139624)","(-0.565279, -0.757869, 0.32572)","(0.640086, -0.630249, -0.439405)","(0.227418, -0.485668, 0.844042)","(0.732851, 0.056283, 0.678057)","(-0.005939, -0.945362, 0.325969)","(0.313779, -0.925512, 0.212063)","(-0.087993, -0.832611, -0.546824)","(0.023366, -0.797438, -0.602949)",
2.212158,"(-0.050582, -0.013359, 0.024637)","(-0.034897, 0.98959, 0.139619)","(-0.613272, -0.736159, 0.286299)","(0.656871, -0.622731, -0.425121)","(0.200418, -0.460359, 0.864813)","(0.686371, 0.07215, 0.723664)","(0.014197, -0.945429, 0.325518)","(0.33, -0.918224, 0.219008)","(-0.087262, -0.826251, -0.556502)","(0.034639, -0.789969, -0.612168)",1
2.267311,"(-0.057863, -0.017781, 0.026924)","(-0.038985, 0.989438, 0.139616)","(-0.658314, -0.712305, 0.243404)","(0.67162, -0.61482, -0.413428)","(0.172106, -0.424501, 0.88892)","(0.643546, 0.079403, 0.761278)","(0.033668, -0.944225, 0.327574)","(0.344076, -0.910934, 0.227619)","(-0.08811, -0.819888, -0.565704)","(0.04567, -0.782777, -0.620625)",
2.312286,"(-0.064879, -0.02269, 0.028465)","(-0.042997, 0.989272, 0.139616)","(-0.70289, -0.685221, 0.190836)","(0.682576, -0.607179, -0.406723)","(0.132793, -0.37187, 0.918737)","(0.601545, 0.074517, 0.795356)","(0.056608, -0.94149, 0.332254)","(0.354964, -0.903734, 0.239301)","(-0.092884, -0.813189, -0.57454)","(0.060144, -0.775256, -0.628777)",
2.357986,"(-0.069068, -0.025919, 0.028779)","(-0.045453, 0.989162, 0.139613)","(-0.729325, -0.667602, 0.149641)","(0.683649, -0.603665, -0.410138)","(0.094623, -0.324524, 0.941133)","(0.577046, 0.058769, 0.814595)","(0.073617, -0.938537, 0.337237)","(0.358952, -0.899582, 0.248808)","(-0.098761, -0.809094, -0.579322)","(0.072265, -0.770946, -0.632788)",
2.403481,"(-0.071881, -0.028232, 0.028248)","(-0.047163, 0.989083, 0.139611)","(-0.746753, -0.655676, 0.111573)","(0.67569, -0.602871, -0.424253)","(0.050143, -0.274731, 0.960213)","(0.561996, 0.031488, 0.826541)","(0.088929, -0.935105, 0.34303)","(0.358313, -0.897219, 0.258089)","(-0.106205, -0.806517, -0.581594)","(0.084753, -0.768565, -0.634134)",
2.448135,"(-0.073232, -0.029446, 0.026862)","(-0.048048, 0.98904, 0.139614)","(-0.755471, -0.650288, 0.07994)","(0.657454, -0.6043, -0.450083)","(0.001518, -0.225305, 0.974287)","(0.556565, -0.007406, 0.830771)","(0.10177, -0.931477, 0.349276)","(0.352968, -0.89687, 0.266529)","(-0.114691, -0.805761, -0.58103)","(0.097263, -0.76847, -0.632451)",
2.492966,"(-0.073274, -0.029603, 0.024558)","(-0.048156, 0.989035, 0.139613)","(-0.757204, -0.650764, 0.056111)","(0.62916, -0.606555, -0.486054)","(-0.048245, -0.17846, 0.982764)","(0.559533, -0.057582, 0.826806)","(0.111895, -0.927717, 0.35612)","(0.344, -0.898107, 0.273986)","(-0.123597, -0.806833, -0.577706)","(0.109011, -0.770819, -0.627659)",
2.53878,"(-0.071916, -0.028677, 0.02145)","(-0.047552, 0.989064, 0.13961)","(-0.754114, -0.655533, 0.039854)","(0.590652, -0.607935, -0.530609)","(-0.098051, -0.134691, 0.986024)","(0.568892, -0.120632, 0.813517)","(0.119109, -0.924146, 0.362997)","(0.331073, -0.900966, 0.280448)","(-0.132864, -0.809886, -0.571342)","(0.12036, -0.775251, -0.62008)",
2.584129,"(-0.069083, -0.026638, 0.017453)","(-0.046205, 0.989127, 0.139615)","(-0.747663, -0.663367, 0.03074)","(0.542344, -0.606526, -0.581368)","(-0.146216, -0.094651, 0.984714)","(0.582513, -0.198976, 0.788091)","(0.122918, -0.920875, 0.369974)","(0.314736, -0.905153, 0.285726)","(-0.14215, -0.815027, -0.561716)","(0.130547, -0.782038, -0.609405)",
2.629601,"(-0.064868, -0.023613, 0.01268)","(-0.044151, 0.989221, 0.139614)","(-0.739252, -0.672848, 0.027981)","(0.488555, -0.600926, -0.632615)","(-0.188938, -0.060314, 0.980135)","(0.596425, -0.290014, 0.748445)","(0.123082, -0.918071, 0.376825)","(0.295812, -0.910345, 0.289426)","(-0.15111, -0.821965, -0.549125)","(0.138875, -0.790969, -0.595888)",
2.67514,"(-0.059261, -0.019779, 0.00716)","(-0.041386, 0.989341, 0.139616)","(-0.72978, -0.683036, 0.029708)","(0.433184, -0.591126, -0.680383)","(-0.224425, -0.03072, 0.974007)","(0.606088, -0.391923, 0.692137)","(0.119569, -0.915667, 0.383743)","(0.273947, -0.916435, 0.291718)","(-0.159799, -0.830345, -0.533846)","(0.145692, -0.801579, -0.579866)",
2.720062,"(-0.052309, -0.015461, 0.001008)","(-0.037938, 0.989478, 0.139619)","(-0.719858, -0.69329, 0.03396)","(0.381001, -0.578891, -0.720918)","(-0.250475, -0.004416, 0.968113)","(0.606967, -0.499015, 0.618527)","(0.112475, -0.913508, 0.390964)","(0.251018, -0.922667, 0.292705)","(-0.168298, -0.83957, -0.516525)","(0.149173, -0.813659, -0.561878)",
2.764381,"(-0.044229, -0.011131, -0.005552)","(-0.033917, 0.989624, 0.139621)","(-0.70992, -0.703216, 0.038755)","(0.336111, -0.567229, -0.751851)","(-0.265154, 0.020492, 0.963988)","(0.59655, -0.602358, 0.530371)","(0.102252, -0.911378, 0.398665)","(0.227398, -0.92867, 0.293024)","(-0.176667, -0.84886, -0.498222)","(0.149597, -0.826102, -0.543302)",
2.812576,"(-0.035201, -0.007209, -0.012355)","(-0.029419, 0.989768, 0.139623)","(-0.700758, -0.712148, 0.042237)","(0.298574, -0.559525, -0.773166)","(-0.266645, 0.045676, 0.962712)","(0.576624, -0.693719, 0.431577)","(0.089511, -0.908869, 0.407364)","(0.203655, -0.934032, 0.293444)","(-0.185149, -0.857472, -0.480063)","(0.146988, -0.838082, -0.52537)",
2.85778,"(-0.02439, -0.003726, -0.019941)","(-0.024026, 0.989913, 0.139626)","(-0.69002, -0.722448, 0.044053)","(0.266273, -0.556404, -0.787092)","(-0.254034, 0.077831, 0.964059)","(0.545658, -0.776134, 0.316027)","(0.073195, -0.90535, 0.41831)","(0.177827, -0.938889, 0.294728)","(-0.194772, -0.865687, -0.461139)","(0.140895, -0.850029, -0.507543)",
2.902527,"(-0.013529, -0.001437, -0.027057)","(-0.0186, 0.990029, 0.13963)","(-0.679779, -0.732101, 0.043924)","(0.241665, -0.558729, -0.79336)","(-0.227444, 0.112996, 0.967213)","(0.512788, -0.833537, 0.205584)","(0.056061, -0.901065, 0.430046)","(0.153977, -0.94226, 0.297385)","(-0.204205, -0.871982, -0.444914)","(0.132422, -0.859599, -0.493513)",
2.947243,"(-0.002356, -0.000219, -0.033914)","(-0.01302, 0.990118, 0.139632)","(-0.669326, -0.74169, 0.043569)","(0.220376, -0.564297, -0.795615)","(-0.186845, 0.15301, 0.9704)","(0.480806, -0.871123, 0.099846)","(0.03786, -0.895767, 0.442909)","(0.131112, -0.944396, 0.301541)","(-0.2138, -0.876731, -0.430851)","(0.12189, -0.867243, -0.482734)",
