time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.667333,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968027, 0.0646038, -0.242384)","(-0.0818498, 0.994729, -0.0617599)","(0.237116, 0.0796244, 0.968213)","(0.920904, 0.0517889, -0.386334)","(-0.0818498, 0.994729, -0.0617599)","(0.381099, 0.0884961, 0.920289)","(-0.0818498, 0.994729, -0.0617599)","(0.196448, -0.975621, 0.0978315)","(0.0282576, -0.803901, 0.594092)","(0.987769, 0.0981458, -0.121163)","(-0.375916, 0.609011, 0.698422)","(-0.0296098, -0.995416, -0.0909439)","(0.0146671, -0.999886, -0.00346019)","(-0.0347232, -0.90291, -0.428424)","(0.158248, -0.902325, -0.400957)",0
0.7007,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968136, 0.0642279, -0.24205)","(-0.0814678, 0.994752, -0.0618923)","(0.236804, 0.0796395, 0.968288)","(0.920634, 0.0513165, -0.387041)","(-0.0814678, 0.994752, -0.0618923)","(0.381833, 0.0885113, 0.919983)","(-0.0814678, 0.994752, -0.0618923)","(0.195152, -0.975875, 0.0978943)","(0.0285561, -0.803025, 0.59526)","(0.987783, 0.098385, -0.120849)","(-0.373678, 0.609755, 0.698973)","(-0.0300974, -0.995453, -0.090377)","(0.0143792, -0.999893, -0.00269117)","(-0.0359168, -0.902694, -0.428782)","(0.156829, -0.902198, -0.401801)",0
0.734067,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968235, 0.0639124, -0.241736)","(-0.0811242, 0.994779, -0.0619213)","(0.236516, 0.0795651, 0.968364)","(0.920255, 0.0508956, -0.387996)","(-0.0811242, 0.994779, -0.0619213)","(0.382818, 0.088459, 0.919579)","(-0.0811242, 0.994779, -0.0619213)","(0.19573, -0.975791, 0.097576)","(0.0288697, -0.802306, 0.596215)","(0.987448, 0.0997963, -0.122419)","(-0.370953, 0.610549, 0.699732)","(-0.0306358, -0.995472, -0.0899853)","(0.0140635, -0.999898, -0.00230056)","(-0.0366949, -0.902552, -0.429015)","(0.155658, -0.902129, -0.402411)",0
0.767433,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968317, 0.0637394, -0.241452)","(-0.080881, 0.994809, -0.0617508)","(0.236263, 0.0793233, 0.968446)","(0.919687, 0.0506038, -0.389379)","(-0.080881, 0.994809, -0.0617508)","(0.384233, 0.0882847, 0.919005)","(-0.080881, 0.994809, -0.0617508)","(0.198023, -0.9754, 0.0968612)","(0.0292421, -0.80171, 0.596997)","(0.986779, 0.102349, -0.125668)","(-0.367637, 0.611644, 0.700524)","(-0.0312945, -0.995467, -0.0898059)","(0.0136746, -0.999904, -0.00222939)","(-0.0374794, -0.902466, -0.429128)","(0.154566, -0.902022, -0.403071)",0
0.8008,"(0.00131664, -0.00164129, -1.70842e-06)","(0.96838, 0.0636661, -0.241218)","(-0.08071, 0.994842, -0.0614388)","(0.236063, 0.0789649, 0.968524)","(0.918987, 0.0504061, -0.391053)","(-0.08071, 0.994842, -0.0614388)","(0.385939, 0.0880234, 0.918315)","(-0.08071, 0.994842, -0.0614388)","(0.201824, -0.974707, 0.0959892)","(0.0299658, -0.801152, 0.59771)","(0.985844, 0.105848, -0.130032)","(-0.364075, 0.612783, 0.701388)","(-0.0319237, -0.995461, -0.0896557)","(0.0132793, -0.999909, -0.00235709)","(-0.0383979, -0.902399, -0.429187)","(0.153629, -0.901908, -0.403682)",0
0.834167,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968429, 0.0636518, -0.241027)","(-0.0806041, 0.99487, -0.0611303)","(0.2359, 0.0786282, 0.968591)","(0.918356, 0.050285, -0.392547)","(-0.0806041, 0.99487, -0.0611303)","(0.387459, 0.0877803, 0.917698)","(-0.0806041, 0.99487, -0.0611303)","(0.204666, -0.974185, 0.0952708)","(0.0309105, -0.800686, 0.598286)","(0.985111, 0.108617, -0.133265)","(-0.361404, 0.613457, 0.70218)","(-0.032481, -0.995454, -0.0895325)","(0.012824, -0.999915, -0.00249679)","(-0.0395693, -0.90235, -0.429184)","(0.152692, -0.901833, -0.404206)",0
0.867533,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968473, 0.0635983, -0.240863)","(-0.0805057, 0.994885, -0.061008)","(0.235751, 0.0784755, 0.96864)","(0.917904, 0.0501388, -0.393623)","(-0.0805057, 0.994885, -0.061008)","(0.38855, 0.0876883, 0.917246)","(-0.0805057, 0.994885, -0.061008)","(0.206402, -0.97386, 0.0948376)","(0.0319668, -0.800273, 0.598783)","(0.98465, 0.110386, -0.135203)","(-0.359427, 0.613889, 0.702818)","(-0.0329602, -0.995451, -0.0893969)","(0.0122934, -0.999921, -0.00260404)","(-0.0410367, -0.902326, -0.429097)","(0.151808, -0.901863, -0.404472)",0
0.9009,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968516, 0.0635295, -0.24071)","(-0.0804315, 0.994889, -0.0610463)","(0.235601, 0.0784849, 0.968675)","(0.917617, 0.0499897, -0.394309)","(-0.0804315, 0.994889, -0.0610463)","(0.389242, 0.0877319, 0.916948)","(-0.0804315, 0.994889, -0.0610463)","(0.207065, -0.973743, 0.0945988)","(0.0329518, -0.799923, 0.599197)","(0.984442, 0.11103, -0.136183)","(-0.358006, 0.614164, 0.703303)","(-0.0334874, -0.995445, -0.0892662)","(0.0117197, -0.999928, -0.00267828)","(-0.0424068, -0.902328, -0.428959)","(0.150997, -0.901912, -0.404667)",0
0.934267,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968554, 0.0634712, -0.240571)","(-0.080361, 0.994895, -0.06105)","(0.235468, 0.0784627, 0.96871)","(0.917328, 0.0498573, -0.394999)","(-0.080361, 0.994895, -0.06105)","(0.389938, 0.0877453, 0.916651)","(-0.080361, 0.994895, -0.06105)","(0.207395, -0.973663, 0.0947027)","(0.0338745, -0.799612, 0.599561)","(0.98426, 0.111685, -0.136964)","(-0.356912, 0.614348, 0.703698)","(-0.0339979, -0.995439, -0.0891405)","(0.0111978, -0.999933, -0.00279143)","(-0.0434436, -0.902332, -0.428847)","(0.150243, -0.901877, -0.405024)",0
0.967633,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968597, 0.0633565, -0.240427)","(-0.080226, 0.994907, -0.0610283)","(0.235336, 0.0784004, 0.968747)","(0.917096, 0.0496879, -0.395559)","(-0.080226, 0.994907, -0.0610283)","(0.390512, 0.0877028, 0.916411)","(-0.080226, 0.994907, -0.0610282)","(0.207454, -0.97363, 0.09491)","(0.0345038, -0.799372, 0.599845)","(0.984092, 0.112266, -0.137695)","(-0.35634, 0.614485, 0.703868)","(-0.0344191, -0.995433, -0.0890436)","(0.010826, -0.999937, -0.00289559)","(-0.044056, -0.902304, -0.428843)","(0.149716, -0.901783, -0.40543)",0
1.001,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968638, 0.0632452, -0.240292)","(-0.0800903, 0.99492, -0.0609869)","(0.235214, 0.0783193, 0.968783)","(0.916882, 0.0495296, -0.396074)","(-0.0800903, 0.99492, -0.0609869)","(0.391042, 0.0876395, 0.916191)","(-0.0800903, 0.99492, -0.0609869)","(0.207495, -0.973598, 0.095148)","(0.035007, -0.799216, 0.600023)","(0.983962, 0.112732, -0.138237)","(-0.356031, 0.614598, 0.703925)","(-0.034753, -0.995429, -0.0889525)","(0.0104995, -0.99994, -0.00298547)","(-0.0444957, -0.902232, -0.428949)","(0.149354, -0.901657, -0.405843)",0
1.03437,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968693, 0.0630835, -0.240112)","(-0.0799331, 0.994927, -0.0610847)","(0.23504, 0.0783653, 0.968822)","(0.916789, 0.0493231, -0.396315)","(-0.0799331, 0.994927, -0.0610847)","(0.391292, 0.0876805, 0.91608)","(-0.0799331, 0.994927, -0.0610847)","(0.207343, -0.973626, 0.095186)","(0.0350698, -0.799119, 0.60015)","(0.983862, 0.113023, -0.13871)","(-0.355963, 0.614672, 0.703895)","(-0.0350676, -0.995429, -0.0888355)","(0.0101538, -0.999944, -0.00303879)","(-0.0447898, -0.902174, -0.42904)","(0.149218, -0.901585, -0.406052)",0
1.06773,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968759, 0.0629216, -0.23989)","(-0.0797759, 0.994932, -0.0611984)","(0.234823, 0.078424, 0.968869)","(0.916731, 0.0491183, -0.396475)","(-0.0797759, 0.994932, -0.0611984)","(0.39146, 0.0877316, 0.916004)","(-0.0797759, 0.994932, -0.0611984)","(0.207117, -0.973674, 0.0951871)","(0.0350062, -0.799069, 0.600219)","(0.983796, 0.113219, -0.139022)","(-0.355925, 0.614753, 0.703844)","(-0.0352942, -0.995433, -0.0886949)","(0.00985211, -0.999947, -0.00307212)","(-0.044955, -0.902125, -0.429126)","(0.14919, -0.901523, -0.406201)",0
1.1011,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968838, 0.0627765, -0.239609)","(-0.0796279, 0.994938, -0.0612992)","(0.234548, 0.0784686, 0.968932)","(0.916739, 0.0489419, -0.396478)","(-0.0796279, 0.994938, -0.0612992)","(0.391471, 0.0877661, 0.915995)","(-0.0796279, 0.994938, -0.0612992)","(0.206571, -0.973807, 0.0950217)","(0.0346726, -0.799065, 0.600244)","(0.983773, 0.113096, -0.139284)","(-0.356364, 0.614449, 0.703887)","(-0.0354722, -0.995441, -0.0885396)","(0.00959688, -0.999949, -0.00310726)","(-0.0450661, -0.902085, -0.4292)","(0.149252, -0.901471, -0.406293)",0
1.13447,"(0.00131664, -0.00164129, -1.70842e-06)","(0.968933, 0.0626366, -0.239259)","(-0.0795201, 0.99493, -0.0615682)","(0.23419, 0.0786815, 0.969002)","(0.916967, 0.0487859, -0.395968)","(-0.0795201, 0.99493, -0.0615682)","(0.390957, 0.0879436, 0.916198)","(-0.0795201, 0.99493, -0.0615682)","(0.205858, -0.974046, 0.0941138)","(0.0339543, -0.799081, 0.600264)","(0.983785, 0.112491, -0.139687)","(-0.357594, 0.613783, 0.703844)","(-0.0356162, -0.99545, -0.0883797)","(0.00939053, -0.999951, -0.00303892)","(-0.0451059, -0.901993, -0.429388)","(0.149304, -0.901388, -0.406459)",0
1.16783,"(0.00131664, -0.00164129, -1.70842e-06)","(0.969066, 0.0623795, -0.238788)","(-0.0793088, 0.994923, -0.0619497)","(0.233711, 0.0789715, 0.969094)","(0.917372, 0.0485285, -0.395061)","(-0.0793088, 0.994923, -0.0619497)","(0.390049, 0.0881632, 0.916564)","(-0.0793088, 0.994923, -0.0619497)","(0.204653, -0.974408, 0.0929803)","(0.0328733, -0.799167, 0.600209)","(0.984045, 0.110874, -0.13915)","(-0.359246, 0.61268, 0.703964)","(-0.0357519, -0.99546, -0.0882064)","(0.0092495, -0.999953, -0.00277226)","(-0.045076, -0.90187, -0.429651)","(0.149386, -0.901246, -0.406743)",0
1.2012,"(0.00131664, -0.00164129, -1.70842e-06)","(0.969238, 0.0619703, -0.238198)","(-0.0789477, 0.994924, -0.0623996)","(0.233122, 0.0792855, 0.96921)","(0.918, 0.0481551, -0.393646)","(-0.0789477, 0.994924, -0.0623996)","(0.388643, 0.0883609, 0.917142)","(-0.0789477, 0.994924, -0.0623996)","(0.202234, -0.974989, 0.0921846)","(0.0313355, -0.799439, 0.59993)","(0.984609, 0.107635, -0.137692)","(-0.361218, 0.611612, 0.703884)","(-0.035801, -0.995475, -0.0880252)","(0.00934194, -0.999953, -0.00245138)","(-0.0448914, -0.90177, -0.429878)","(0.149436, -0.901404, -0.406374)",0
