time,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
5.039478,"(0.199878, 0.945467, 0.25718)","(-0.361458, -0.833826, 0.417231)","(0.468422, -0.853773, -0.227272)","(0.359684, 0.579168, 0.731568)","(-0.398347, 0.04177, 0.916283)","(0.014811, -0.848514, 0.528966)","(-0.120225, -0.855446, 0.503744)","(-0.284349, -0.79044, -0.542541)","(0.299865, -0.76845, -0.565302)"
5.075175,"(0.197236, 0.945631, 0.258611)","(-0.252735, -0.816425, 0.519206)","(0.415124, -0.802306, -0.428925)","(0.410376, 0.630694, 0.658648)","(-0.186753, -0.112147, 0.975985)","(-0.010637, -0.85035, 0.52611)","(-0.141487, -0.862271, 0.486281)","(-0.268238, -0.790036, -0.551263)","(0.2686, -0.792142, -0.548056)"
5.113789,"(0.192345, 0.946682, 0.25845)","(-0.155267, -0.794184, 0.587507)","(0.363484, -0.727815, -0.581519)","(0.474052, 0.629244, 0.615895)","(0.024586, -0.304583, 0.952169)","(-0.040244, -0.853916, 0.518853)","(-0.150566, -0.877025, 0.456242)","(-0.217214, -0.800245, -0.558952)","(0.234629, -0.823428, -0.516639)"
5.150973,"(0.184071, 0.948905, 0.256314)","(-0.056508, -0.766049, 0.640294)","(0.313735, -0.649804, -0.692333)","(0.556519, 0.593862, 0.581046)","(0.251979, -0.490834, 0.83402)","(-0.080766, -0.859923, 0.503993)","(-0.148623, -0.899907, 0.409974)","(-0.139309, -0.82117, -0.55342)","(0.190429, -0.862898, -0.468128)"
5.168985,"(0.179191, 0.950322, 0.254517)","(-0.011641, -0.749538, 0.661859)","(0.294627, -0.617706, -0.729132)","(0.594177, 0.57625, 0.56115)","(0.351352, -0.545721, 0.76075)","(-0.100653, -0.862197, 0.496474)","(-0.145083, -0.91116, 0.385667)","(-0.100526, -0.831766, -0.545949)","(0.168526, -0.880573, -0.442933)"
5.204487,"(0.167951, 0.953728, 0.249389)","(0.074519, -0.709096, 0.701163)","(0.266836, -0.556881, -0.786564)","(0.660431, 0.550835, 0.510306)","(0.525479, -0.587822, 0.615092)","(-0.136416, -0.861764, 0.488625)","(-0.13608, -0.93024, 0.340787)","(-0.021396, -0.850386, -0.525725)","(0.1265, -0.909308, -0.39643)"
5.238679,"(0.161588, 0.955712, 0.245974)","(0.117766, -0.685605, 0.718385)","(0.257548, -0.526021, -0.810538)","(0.688038, 0.544484, 0.47973)","(0.601113, -0.580248, 0.549523)","(-0.151745, -0.859072, 0.488845)","(-0.131837, -0.937427, 0.322257)","(0.020121, -0.856915, -0.515064)","(0.107411, -0.919613, -0.377855)"
5.275657,"(0.139938, 0.96256, 0.232154)","(0.243468, -0.59901, 0.76283)","(0.247919, -0.432562, -0.866849)","(0.748997, 0.548236, 0.372076)","(0.780284, -0.479798, 0.401187)","(-0.193285, -0.842014, 0.50364)","(-0.123934, -0.947293, 0.295425)","(0.137757, -0.859583, -0.492077)","(0.066996, -0.933092, -0.353341)"
5.311615,"(0.120872, 0.96862, 0.217177)","(0.341301, -0.5206, 0.782617)","(0.263936, -0.36836, -0.891431)","(0.775004, 0.564098, 0.284891)","(0.866155, -0.368019, 0.338138)","(-0.239582, -0.814588, 0.52825)","(-0.113411, -0.944015, 0.309795)","(0.209512, -0.849347, -0.484474)","(0.053673, -0.926595, -0.372212)"
5.347219,"(0.100946, 0.974879, 0.198546)","(0.434977, -0.434362, 0.788749)","(0.296794, -0.317038, -0.900778)","(0.787734, 0.581087, 0.204483)","(0.910775, -0.261954, 0.319169)","(-0.29758, -0.778474, 0.552652)","(-0.092073, -0.934121, 0.344878)","(0.285699, -0.833113, -0.473602)","(0.037441, -0.907137, -0.419167)"
5.383018,"(0.079256, 0.981496, 0.174312)","(0.52812, -0.337552, 0.779197)","(0.345059, -0.277789, -0.896531)","(0.79396, 0.594082, 0.129206)","(0.928415, -0.165492, 0.332654)","(-0.364578, -0.736021, 0.5704)","(-0.049896, -0.920742, 0.386969)","(0.366702, -0.812533, -0.453121)","(0.005781, -0.876958, -0.480533)"
5.400896,"(0.067846, 0.984838, 0.159659)","(0.572182, -0.289099, 0.767483)","(0.372889, -0.261616, -0.890231)","(0.79558, 0.599028, 0.090655)","(0.93132, -0.117439, 0.344748)","(-0.398399, -0.714081, 0.575645)","(-0.019813, -0.914031, 0.40516)","(0.405425, -0.80222, -0.438262)","(-0.019443, -0.859606, -0.510588)"
5.43634,"(0.043967, 0.991304, 0.124031)","(0.6527, -0.201662, 0.730285)","(0.432636, -0.241157, -0.868717)","(0.797711, 0.602939, 0.011015)","(0.927091, -0.025081, 0.373997)","(-0.46022, -0.671951, 0.580241)","(0.051635, -0.902888, 0.426764)","(0.472396, -0.785142, -0.400492)","(-0.082139, -0.825041, -0.559072)"
5.472154,"(0.019085, 0.996705, 0.078841)","(0.720581, -0.140279, 0.679033)","(0.49172, -0.246465, -0.835145)","(0.802396, 0.592744, -0.069395)","(0.91234, 0.052356, 0.406072)","(-0.506221, -0.63675, 0.581627)","(0.120774, -0.896032, 0.427248)","(0.517954, -0.776638, -0.358549)","(-0.141249, -0.798071, -0.585775)"
5.507426,"(-0.006508, 0.999634, 0.026265)","(0.776675, -0.112018, 0.619861)","(0.547382, -0.277758, -0.789446)","(0.811017, 0.567469, -0.142233)","(0.889802, 0.109847, 0.44293)","(-0.533522, -0.6093, 0.586608)","(0.169511, -0.893771, 0.415258)","(0.542979, -0.780175, -0.310645)","(-0.173036, -0.783448, -0.596882)"
5.542964,"(-0.031883, 0.999332, -0.017844)","(0.821584, -0.117195, 0.557911)","(0.59277, -0.332252, -0.733643)","(0.826003, 0.528217, -0.196737)","(0.86488, 0.137404, 0.482807)","(-0.524045, -0.624271, 0.579364)","(0.187382, -0.891914, 0.411555)","(0.527555, -0.772984, -0.352395)","(-0.193622, -0.789248, -0.582751)"
5.578665,"(-0.057528, 0.997658, -0.037003)","(0.85619, -0.15056, 0.494238)","(0.62502, -0.408226, -0.665358)","(0.850496, 0.475745, -0.224329)","(0.841411, 0.125936, 0.525517)","(-0.487543, -0.662276, 0.56894)","(0.181345, -0.894475, 0.408691)","(0.480094, -0.768654, -0.422706)","(-0.191543, -0.810124, -0.554085)"
5.613974,"(-0.081738, 0.99624, -0.028722)","(0.881804, -0.207784, 0.423377)","(0.645324, -0.487307, -0.588292)","(0.883332, 0.41305, -0.221617)","(0.819825, 0.07681, 0.56744)","(-0.433639, -0.706464, 0.559344)","(0.156889, -0.902656, 0.400748)","(0.401517, -0.775582, -0.487089)","(-0.16363, -0.84019, -0.517016)"
5.649627,"(-0.105277, 0.994418, 0.007062)","(0.885985, -0.275301, 0.37315)","(0.655713, -0.56352, -0.50248)","(0.921176, 0.339502, -0.190194)","(0.796023, -0.002928, 0.60526)","(-0.365909, -0.753818, 0.545774)","(0.121305, -0.915122, 0.384497)","(0.293734, -0.791788, -0.53553)","(-0.119411, -0.874748, -0.469635)"
5.667312,"(-0.116599, 0.992679, 0.031505)","(0.876538, -0.312476, 0.366115)","(0.659008, -0.595755, -0.459113)","(0.939097, 0.301715, -0.164516)","(0.780567, -0.050344, 0.623042)","(-0.330045, -0.776981, 0.53607)","(0.10365, -0.921828, 0.373483)","(0.234412, -0.801629, -0.549947)","(-0.096118, -0.891229, -0.443252)"
5.702498,"(-0.137508, 0.987208, 0.080693)","(0.837334, -0.385493, 0.387644)","(0.666884, -0.642902, -0.376752)","(0.967985, 0.231493, -0.097035)","(0.738649, -0.146461, 0.657987)","(-0.264163, -0.818768, 0.509742)","(0.074954, -0.933298, 0.351193)","(0.115241, -0.819921, -0.560758)","(-0.053958, -0.91782, -0.393314)"
5.738161,"(-0.156496, 0.980069, 0.122371)","(0.771085, -0.453279, 0.447177)","(0.681513, -0.667502, -0.299968)","(0.984693, 0.17365, -0.015024)","(0.680723, -0.229581, 0.695636)","(-0.212755, -0.855118, 0.472768)","(0.05809, -0.939154, 0.338548)","(0.000737, -0.831038, -0.556215)","(-0.019603, -0.933289, -0.35859)"
5.773933,"(-0.173264, 0.972609, 0.154957)","(0.674998, -0.519049, 0.524372)","(0.701945, -0.674189, -0.229657)","(0.988175, 0.138616, 0.065542)","(0.612829, -0.282897, 0.737841)","(-0.174677, -0.881758, 0.438168)","(0.050562, -0.937107, 0.34536)","(-0.082548, -0.832042, -0.548536)","(0.006145, -0.93794, -0.346742)"
5.809347,"(-0.187898, 0.96548, 0.180397)","(0.541855, -0.591037, 0.597552)","(0.724398, -0.66928, -0.165264)","(0.982178, 0.136868, 0.128819)","(0.541484, -0.295237, 0.787166)","(-0.13438, -0.893604, 0.428268)","(0.04058, -0.92586, 0.375683)","(-0.134157, -0.824772, -0.549321)","(0.032487, -0.933247, -0.357763)"
5.844858,"(-0.200177, 0.959131, 0.199991)","(0.370604, -0.669314, 0.64395)","(0.746353, -0.656806, -0.107534)","(0.970699, 0.17125, 0.16857)","(0.471044, -0.261494, 0.84246)","(-0.088323, -0.897141, 0.432824)","(0.022121, -0.906842, 0.42089)","(-0.178753, -0.807932, -0.56151)","(0.068839, -0.917838, -0.390941)"
5.880408,"(-0.210145, 0.95372, 0.215074)","(0.167735, -0.749082, 0.640891)","(0.766523, -0.64008, -0.052351)","(0.951345, 0.231522, 0.203326)","(0.399735, -0.186245, 0.89751)","(-0.038753, -0.894137, 0.446113)","(-0.002849, -0.882147, 0.470965)","(-0.221106, -0.784774, -0.579001)","(0.117309, -0.893313, -0.433855)"
5.915478,"(-0.217678, 0.94941, 0.226357)","(-0.043892, -0.819252, 0.571752)","(0.774562, -0.632322, 0.014933)","(0.914841, 0.292089, 0.278837)","(0.316463, -0.070145, 0.946008)","(0.008124, -0.888284, 0.459222)","(-0.02931, -0.858156, 0.512553)","(-0.258655, -0.761921, -0.59378)","(0.167907, -0.864497, -0.473764)"
5.933448,"(-0.220566, 0.947663, 0.230836)","(-0.146175, -0.851714, 0.503206)","(0.770232, -0.63544, 0.054398)","(0.885837, 0.317341, 0.338508)","(0.272957, 0.000574, 0.962026)","(0.02888, -0.88543, 0.463875)","(-0.039859, -0.848022, 0.52846)","(-0.273674, -0.753074, -0.598316)","(0.190424, -0.850591, -0.490136)"
5.968666,"(-0.224727, 0.944916, 0.237975)","(-0.33384, -0.896691, 0.290683)","(0.736313, -0.664264, 0.128832)","(0.792267, 0.331231, 0.512444)","(0.187253, 0.169632, 0.967554)","(0.064567, -0.881262, 0.468198)","(-0.051301, -0.832936, 0.550987)","(-0.292945, -0.743187, -0.601544)","(0.228372, -0.826369, -0.514744)"
6.004199,"(-0.226467, 0.943285, 0.242746)","(-0.463708, -0.885887, 0.013403)","(0.662642, -0.717199, 0.215713)","(0.632599, 0.249521, 0.733183)","(0.115254, 0.347077, 0.930728)","(0.09303, -0.878639, 0.468336)","(-0.043941, -0.826653, 0.560994)","(-0.288704, -0.744579, -0.601874)","(0.258044, -0.810553, -0.525754)"
6.039759,"(-0.226185, 0.942596, 0.245669)","(-0.5102, -0.818026, -0.265575)","(0.554994, -0.766239, 0.32382)","(0.390962, 0.081573, 0.916785)","(0.056323, 0.495055, 0.867034)","(0.115431, -0.878399, 0.46378)","(-0.024121, -0.826443, 0.562503)","(-0.266312, -0.755873, -0.598109)","(0.28161, -0.801951, -0.52685)"
6.075373,"(-0.223616, 0.94288, 0.246929)","(-0.475871, -0.737735, -0.478847)","(0.436961, -0.794566, 0.421581)","(0.105897, -0.12624, 0.986331)","(-0.016882, 0.579275, 0.814957)","(0.126502, -0.885192, 0.447697)","(-0.009623, -0.82531, 0.564597)","(-0.230133, -0.779645, -0.582403)","(0.282789, -0.797229, -0.533345)"
6.113624,"(-0.218725, 0.944107, 0.246619)","(-0.415848, -0.678766, -0.605266)","(0.334027, -0.804304, 0.491449)","(-0.148838, -0.333523, 0.930919)","(-0.125645, 0.598389, 0.791293)","(0.124098, -0.899841, 0.418193)","(0.000087, -0.826155, 0.563444)","(-0.183547, -0.812383, -0.553484)","(0.262071, -0.800461, -0.539057)"
6.133823,"(-0.214848, 0.945236, 0.245703)","(-0.384583, -0.654716, -0.650725)","(0.280338, -0.803504, 0.525159)","(-0.270899, -0.43527, 0.858577)","(-0.201351, 0.591429, 0.780813)","(0.118076, -0.910831, 0.395532)","(0.006103, -0.827556, 0.561351)","(-0.15274, -0.83349, -0.531004)","(0.245165, -0.80632, -0.538277)"
6.171976,"(-0.205655, 0.948122, 0.242427)","(-0.339493, -0.61643, -0.710464)","(0.183394, -0.78826, 0.587378)","(-0.448882, -0.561286, 0.695315)","(-0.351752, 0.564763, 0.746535)","(0.10242, -0.933397, 0.343919)","(0.018258, -0.829693, 0.557921)","(-0.09262, -0.872392, -0.479953)","(0.200658, -0.821303, -0.534039)"
6.207144,"(-0.193755, 0.952059, 0.236732)","(-0.303566, -0.562087, -0.769355)","(0.07884, -0.750708, 0.655913)","(-0.58852, -0.594606, 0.547803)","(-0.495149, 0.54351, 0.677809)","(0.087281, -0.953411, 0.288774)","(0.03359, -0.824513, 0.564845)","(-0.035334, -0.904121, -0.425813)","(0.137318, -0.837296, -0.529225)"
6.242526,"(-0.180358, 0.956599, 0.228887)","(-0.272096, -0.492059, -0.826948)","(-0.03091, -0.697119, 0.716289)","(-0.702028, -0.554, 0.447483)","(-0.606333, 0.53602, 0.587404)","(0.078512, -0.965726, 0.247405)","(0.05515, -0.809227, 0.584902)","(0.010477, -0.922239, -0.386478)","(0.067347, -0.849124, -0.523883)"
6.278029,"(-0.164634, 0.961963, 0.217998)","(-0.249088, -0.415873, -0.874645)","(-0.150351, -0.623617, 0.767135)","(-0.800831, -0.463592, 0.379147)","(-0.692514, 0.539825, 0.478554)","(0.068981, -0.970839, 0.229592)","(0.089091, -0.789728, 0.606953)","(0.03975, -0.92669, -0.373719)","(-0.004158, -0.853257, -0.521474)"
6.313506,"(-0.146866, 0.967989, 0.203536)","(-0.249345, -0.349492, -0.903152)","(-0.278986, -0.538413, 0.795159)","(-0.872734, -0.350638, 0.339688)","(-0.751535, 0.549689, 0.364743)","(0.044786, -0.968977, 0.24306)","(0.14349, -0.766073, 0.626532)","(0.061505, -0.917023, -0.394063)","(-0.08646, -0.84923, -0.520897)"
6.349118,"(-0.127194, 0.974537, 0.184661)","(-0.280343, -0.298252, -0.912389)","(-0.411491, -0.441971, 0.79708)","(-0.913314, -0.239759, 0.329202)","(-0.788298, 0.561861, 0.250797)","(-0.000179, -0.961617, 0.274395)","(0.222263, -0.734339, 0.641363)","(0.101725, -0.893752, -0.436875)","(-0.19132, -0.83718, -0.512373)"
6.366729,"(-0.116544, 0.977994, 0.173049)","(-0.305259, -0.279132, -0.910441)","(-0.478745, -0.389263, 0.786942)","(-0.922889, -0.190893, 0.334418)","(-0.800379, 0.567035, 0.194588)","(-0.033497, -0.956669, 0.289243)","(0.269428, -0.716509, 0.643447)","(0.1333, -0.877436, -0.4608)","(-0.251908, -0.828102, -0.50079)"
6.402027,"(-0.094319, 0.984891, 0.145237)","(-0.364473, -0.247148, -0.897818)","(-0.603181, -0.279788, 0.746921)","(-0.928964, -0.097504, 0.357097)","(-0.816161, 0.569215, 0.099378)","(-0.118315, -0.945957, 0.30194)","(0.364917, -0.682198, 0.633594)","(0.215924, -0.840402, -0.497094)","(-0.370905, -0.805242, -0.462617)"
6.437592,"(-0.070793, 0.991454, 0.109581)","(-0.424755, -0.230308, -0.875524)","(-0.706146, -0.175654, 0.685933)","(-0.922262, -0.00966, 0.386444)","(-0.829563, 0.557523, 0.031524)","(-0.210477, -0.935236, 0.284662)","(0.446558, -0.652302, 0.612444)","(0.305815, -0.805562, -0.507491)","(-0.468691, -0.782566, -0.409781)"
6.473031,"(-0.04583, 0.996911, 0.063787)","(-0.483945, -0.237093, -0.842369)","(-0.78381, -0.096977, 0.613382)","(-0.904523, 0.067426, 0.42106)","(-0.846787, 0.531596, -0.018934)","(-0.284859, -0.925347, 0.250177)","(0.502501, -0.629073, 0.593093)","(0.374588, -0.781331, -0.499206)","(-0.53657, -0.766948, -0.351971)"
6.508258,"(-0.020567, 0.999717, 0.011928)","(-0.532955, -0.275168, -0.800151)","(-0.836411, -0.058053, 0.54502)","(-0.879995, 0.119782, 0.459631)","(-0.865281, 0.497519, -0.061341)","(-0.327403, -0.91814, 0.223218)","(0.529233, -0.614181, 0.585401)","(0.403262, -0.771892, -0.491491)","(-0.577397, -0.762251, -0.292551)"
6.543632,"(0.004889, 0.999498, -0.031317)","(-0.5692, -0.338868, -0.74912)","(-0.870762, -0.060938, 0.487914)","(-0.851878, 0.143144, 0.5038)","(-0.881981, 0.459556, -0.104486)","(-0.331265, -0.916712, 0.223388)","(0.52099, -0.632233, 0.573456)","(0.407025, -0.778613, -0.47759)","(-0.565951, -0.753778, -0.333943)"
6.578922,"(0.030015, 0.998357, -0.048801)","(-0.59129, -0.418516, -0.689363)","(-0.890852, -0.104247, 0.442171)","(-0.822513, 0.132012, 0.553213)","(-0.894008, 0.422336, -0.149606)","(-0.304366, -0.921344, 0.241841)","(0.487818, -0.665007, 0.565508)","(0.378725, -0.798243, -0.468375)","(-0.515896, -0.75486, -0.405016)"
6.614337,"(0.054774, 0.997761, -0.038383)","(-0.59828, -0.507556, -0.620039)","(-0.897938, -0.183901, 0.399859)","(-0.791596, 0.079374, 0.605868)","(-0.900087, 0.389997, -0.194284)","(-0.250112, -0.930913, 0.266167)","(0.430186, -0.705529, 0.563178)","(0.316923, -0.82901, -0.460763)","(-0.427981, -0.767903, -0.476611)"
6.649935,"(0.078264, 0.996932, 0.000872)","(-0.593816, -0.590476, -0.546553)","(-0.878098, -0.290219, 0.380417)","(-0.753815, -0.005444, 0.657064)","(-0.905421, 0.364101, -0.218271)","(-0.180095, -0.942763, 0.280648)","(0.354374, -0.750097, 0.558367)","(0.235143, -0.865256, -0.442765)","(-0.306015, -0.787935, -0.534334)"
6.667478,"(0.089498, 0.99562, 0.027044)","(-0.589759, -0.625775, -0.510481)","(-0.851925, -0.349601, 0.389875)","(-0.7287, -0.055702, 0.682564)","(-0.910492, 0.352338, -0.216479)","(-0.145777, -0.948582, 0.280965)","(0.313843, -0.773148, 0.55113)","(0.193776, -0.883017, -0.427471)","(-0.234823, -0.798112, -0.554866)"
6.703048,"(0.110452, 0.990677, 0.079749)","(-0.584714, -0.679839, -0.442639)","(-0.766014, -0.467116, 0.441616)","(-0.659561, -0.158496, 0.734751)","(-0.925789, 0.329473, -0.185372)","(-0.089476, -0.958076, 0.272183)","(0.239086, -0.817392, 0.524127)","(0.121869, -0.91278, -0.389848)","(-0.093889, -0.814817, -0.572066)"
6.738213,"(0.129606, 0.983713, 0.124542)","(-0.590823, -0.711785, -0.379856)","(-0.633973, -0.569136, 0.523605)","(-0.559954, -0.248337, 0.79043)","(-0.945736, 0.300857, -0.122756)","(-0.055378, -0.96239, 0.265967)","(0.1839, -0.853846, 0.486958)","(0.069322, -0.931268, -0.35768)","(0.032194, -0.827369, -0.560736)"
6.773352,"(0.146365, 0.976333, 0.15922)","(-0.60662, -0.727415, -0.320748)","(-0.464353, -0.64666, 0.60515)","(-0.437942, -0.303488, 0.846228)","(-0.963415, 0.265234, -0.03851)","(-0.038866, -0.959858, 0.27778)","(0.149824, -0.877377, 0.45581)","(0.036834, -0.93692, -0.347597)","(0.123586, -0.832203, -0.540522)"
6.80863,"(0.160971, 0.96922, 0.186284)","(-0.624114, -0.736277, -0.261491)","(-0.265277, -0.70344, 0.659394)","(-0.303878, -0.30899, 0.901212)","(-0.971868, 0.228119, 0.058597)","(-0.024399, -0.949556, 0.312646)","(0.118751, -0.886626, 0.446981)","(0.011086, -0.930672, -0.365687)","(0.185216, -0.827243, -0.530438)"
6.843752,"(0.173268, 0.962829, 0.207216)","(-0.637068, -0.744206, -0.200753)","(-0.055136, -0.747152, 0.662362)","(-0.167402, -0.256586, 0.951914)","(-0.967219, 0.200023, 0.156457)","(-0.005645, -0.931784, 0.362969)","(0.082572, -0.886941, 0.454441)","(-0.022506, -0.912973, -0.407399)","(0.230568, -0.812898, -0.534822)"
6.882637,"(0.183304, 0.95733, 0.223426)","(-0.640658, -0.756444, -0.131717)","(0.158264, -0.77262, 0.614826)","(-0.033502, -0.14707, 0.988559)","(-0.949035, 0.180134, 0.258619)","(0.015735, -0.907993, 0.418691)","(0.042268, -0.881306, 0.470652)","(-0.072363, -0.886708, -0.456633)","(0.269052, -0.792042, -0.547978)"
6.904118,"(0.188214, 0.954513, 0.23126)","(-0.637239, -0.767004, -0.075037)","(0.271554, -0.785097, 0.55667)","(0.046155, -0.057409, 0.997283)","(-0.927133, 0.171703, 0.333081)","(0.028034, -0.892317, 0.450539)","(0.017229, -0.875778, 0.482407)","(-0.107196, -0.869133, -0.482822)","(0.289336, -0.77916, -0.556052)"
6.939505,"(0.195068, 0.95033, 0.242532)","(-0.609605, -0.790367, 0.060839)","(0.43581, -0.809003, 0.394442)","(0.179465, 0.137087, 0.974166)","(-0.852767, 0.163082, 0.496178)","(0.044916, -0.867124, 0.496064)","(-0.02693, -0.866032, 0.499262)","(-0.172338, -0.83701, -0.51934)","(0.318022, -0.759955, -0.56686)"
6.978724,"(0.198839, 0.947667, 0.249779)","(-0.550443, -0.814453, 0.183518)","(0.504728, -0.843823, 0.182245)","(0.271266, 0.32223, 0.906963)","(-0.731439, 0.154818, 0.6641)","(0.04746, -0.852331, 0.520845)","(-0.062448, -0.859957, 0.506532)","(-0.223977, -0.813533, -0.536655)","(0.329531, -0.753752, -0.568567)"
7.014507,"(0.200359, 0.945932, 0.255087)","(-0.444394, -0.833935, 0.327211)","(0.499702, -0.86344, -0.069062)","(0.333204, 0.499686, 0.799555)","(-0.539628, 0.109036, 0.834813)","(0.032414, -0.847195, 0.530292)","(-0.099729, -0.855351, 0.508359)","(-0.267798, -0.795937, -0.542926)","(0.317234, -0.758377, -0.56941)"
7.034701,"(0.200133, 0.94555, 0.256675)","(-0.386333, -0.834994, 0.391831)","(0.479175, -0.858575, -0.18232)","(0.352506, 0.559023, 0.750488)","(-0.440163, 0.064307, 0.895612)","(0.020391, -0.847873, 0.529808)","(-0.114688, -0.855104, 0.505612)","(-0.280734, -0.791516, -0.542855)","(0.305518, -0.764948, -0.567022)"
7.071242,"(0.19764, 0.945567, 0.258536)","(-0.264705, -0.818815, 0.509386)","(0.421144, -0.809835, -0.408419)","(0.404394, 0.627608, 0.665262)","(-0.210543, -0.092328, 0.973215)","(-0.007837, -0.850169, 0.526452)","(-0.1397, -0.861092, 0.488881)","(-0.27239, -0.789673, -0.549747)","(0.272362, -0.789006, -0.550717)"
7.106722,"(0.192933, 0.946539, 0.258536)","(-0.164351, -0.796467, 0.581918)","(0.36841, -0.735474, -0.56864)","(0.466991, 0.631257, 0.619221)","(0.003765, -0.285256, 0.958444)","(-0.036998, -0.853443, 0.519871)","(-0.150188, -0.875254, 0.459754)","(-0.223334, -0.798796, -0.558612)","(0.238142, -0.820087, -0.520333)"
7.142244,"(0.185958, 0.948372, 0.256924)","(-0.075728, -0.772238, 0.630804)","(0.32267, -0.664345, -0.674189)","(0.53993, 0.601862, 0.588419)","(0.208183, -0.460125, 0.863102)","(-0.072402, -0.858773, 0.507215)","(-0.149779, -0.895098, 0.419959)","(-0.155733, -0.81666, -0.55571)","(0.199628, -0.855092, -0.478505)"
7.177852,"(0.176613, 0.951088, 0.253456)","(0.009845, -0.740641, 0.671829)","(0.286614, -0.602861, -0.744588)","(0.611718, 0.568302, 0.550303)","(0.397203, -0.564281, 0.723752)","(-0.110086, -0.863008, 0.49305)","(-0.14289, -0.916521, 0.373592)","(-0.081358, -0.836761, -0.54149)","(0.157852, -0.888608, -0.430649)"
7.213052,"(0.164965, 0.954654, 0.247835)","(0.095056, -0.697984, 0.709777)","(0.262005, -0.542172, -0.798375)","(0.674198, 0.547208, 0.496005)","(0.562716, -0.586249, 0.582806)","(-0.144027, -0.860685, 0.488343)","(-0.133902, -0.933965, 0.33133)","(-0.001736, -0.85384, -0.520533)","(0.117082, -0.91465, -0.386919)"
7.248579,"(0.151063, 0.959027, 0.239682)","(0.182618, -0.644831, 0.742188)","(0.248615, -0.477824, -0.842541)","(0.722755, 0.54306, 0.427448)","(0.701563, -0.539986, 0.465)","(-0.172143, -0.852284, 0.493942)","(-0.127594, -0.944539, 0.302599)","(0.086151, -0.861577, -0.500264)","(0.082215, -0.929756, -0.358881)"
7.284389,"(0.134821, 0.964192, 0.228378)","(0.271212, -0.578643, 0.769166)","(0.250086, -0.413732, -0.875376)","(0.757603, 0.55216, 0.348078)","(0.80871, -0.449765, 0.379078)","(-0.204107, -0.835959, 0.509424)","(-0.121857, -0.947303, 0.296256)","(0.158415, -0.857399, -0.489664)","(0.062275, -0.932717, -0.355191)"
7.301985,"(0.125786, 0.967063, 0.221283)","(0.317328, -0.541183, 0.778733)","(0.258021, -0.38347, -0.886778)","(0.769534, 0.560088, 0.306788)","(0.848825, -0.39658, 0.349601)","(-0.226379, -0.82273, 0.52141)","(-0.116822, -0.945637, 0.303519)","(0.19194, -0.852463, -0.486279)","(0.056369, -0.92955, -0.364361)"
7.337555,"(0.106704, 0.973084, 0.20426)","(0.408627, -0.459649, 0.788509)","(0.286041, -0.33032, -0.899483)","(0.785216, 0.576304, 0.226517)","(0.90137, -0.290884, 0.32081)","(-0.280212, -0.789344, 0.546275)","(-0.099677, -0.93738, 0.333743)","(0.263474, -0.838241, -0.477424)","(0.043134, -0.9138, -0.403869)"
7.37275,"(0.085582, 0.979593, 0.181862)","(0.502142, -0.365462, 0.783767)","(0.329917, -0.288211, -0.898938)","(0.792615, 0.590859, 0.150489)","(0.925304, -0.192666, 0.32664)","(-0.345157, -0.748435, 0.566314)","(-0.06424, -0.924653, 0.375354)","(0.343872, -0.818546, -0.460146)","(0.01697, -0.886321, -0.462761)"
7.408395,"(0.062708, 0.986292, 0.152631)","(0.590858, -0.268274, 0.760866)","(0.385723, -0.255491, -0.886534)","(0.796059, 0.600743, 0.073471)","(0.93143, -0.096545, 0.35088)","(-0.412995, -0.704446, 0.577228)","(-0.004885, -0.911194, 0.411949)","(0.42174, -0.797831, -0.430816)","(-0.032375, -0.851722, -0.522993)"
7.443892,"(0.038896, 0.992538, 0.115566)","(0.667834, -0.186237, 0.720634)","(0.445203, -0.239653, -0.862763)","(0.798121, 0.602471, -0.005607)","(0.924784, -0.007369, 0.38042)","(-0.471292, -0.663915, 0.580604)","(0.066981, -0.901104, 0.428399)","(0.483818, -0.782553, -0.39183)","(-0.09569, -0.818514, -0.566461)"
7.479148,"(0.013934, 0.997543, 0.068662)","(0.732892, -0.131651, 0.667486)","(0.503726, -0.250355, -0.82679)","(0.803634, 0.58902, -0.085021)","(0.90822, 0.066213, 0.413222)","(-0.513165, -0.630767, 0.582061)","(0.132864, -0.89513, 0.425546)","(0.524412, -0.776128, -0.350169)","(-0.150811, -0.794056, -0.588839)"
7.515007,"(-0.011729, 0.999804, 0.015982)","(0.786686, -0.110481, 0.607387)","(0.557386, -0.28765, -0.778832)","(0.813509, 0.560486, -0.155113)","(0.884901, 0.117689, 0.450665)","(-0.535429, -0.607099, 0.587151)","(0.175872, -0.893604, 0.412965)","(0.544451, -0.780756, -0.306583)","(-0.176798, -0.782608, -0.596881)"
7.550641,"(-0.037178, 0.999012, -0.024367)","(0.829735, -0.122086, 0.544641)","(0.599767, -0.347894, -0.72059)","(0.830181, 0.518447, -0.204969)","(0.860321, 0.137182, 0.490946)","(-0.517991, -0.631762, 0.576682)","(0.187823, -0.891844, 0.411506)","(0.519462, -0.770894, -0.368621)","(-0.195946, -0.792652, -0.577328)"
