time,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
1.482852,"(0.011365, 0.997913, 0.063562)","(0.738826, -0.127906, 0.661647)","(0.509593, -0.252618, -0.822496)","(0.804355, 0.586893, -0.09257)","(0.906059, 0.072731, 0.416855)","(-0.516297, -0.62797, 0.582315)","(0.13843, -0.894755, 0.42456)","(0.5273, -0.776032, -0.346018)","(-0.155042, -0.792289, -0.590119)"
1.500867,"(-0.0014, 0.999316, 0.036955)","(0.766444, -0.114823, 0.631965)","(0.537187, -0.268878, -0.799459)","(0.808849, 0.573762, -0.128689)","(0.894555, 0.10087, 0.435428)","(-0.529905, -0.613644, 0.585357)","(0.161997, -0.89388, 0.418014)","(0.53968, -0.778798, -0.319716)","(-0.169313, -0.785211, -0.595632)"
1.536491,"(-0.027191, 0.999571, -0.010905)","(0.813994, -0.113871, 0.569603)","(0.585393, -0.320247, -0.74482)","(0.822658, 0.536467, -0.188248)","(0.869439, 0.134993, 0.47524)","(-0.528834, -0.617712, 0.582036)","(0.186283, -0.892257, 0.41131)","(0.534012, -0.775467, -0.336871)","(-0.190294, -0.786609, -0.587396)"
1.572064,"(-0.052727, 0.997973, -0.035624)","(0.849973, -0.141264, 0.507534)","(0.619971, -0.392897, -0.679167)","(0.845131, 0.48666, -0.221169)","(0.845703, 0.131153, 0.517287)","(-0.495984, -0.65443, 0.57072)","(0.184081, -0.8935, 0.409601)","(0.491196, -0.768578, -0.409897)","(-0.194198, -0.805312, -0.560143)"
1.607489,"(-0.0774, 0.996481, -0.032178)","(0.878498, -0.196623, 0.435409)","(0.642438, -0.472932, -0.603)","(0.87685, 0.425255, -0.224259)","(0.82383, 0.088227, 0.559928)","(-0.444617, -0.698068, 0.561264)","(0.162373, -0.90082, 0.402689)","(0.418124, -0.773624, -0.476108)","(-0.170174, -0.834244, -0.524479)"
1.642982,"(-0.101112, 0.994875, -0.000842)","(0.887221, -0.262442, 0.379426)","(0.654343, -0.550694, -0.518238)","(0.914414, 0.353224, -0.197685)","(0.800966, 0.013135, 0.598566)","(-0.37869, -0.745278, 0.548775)","(0.12789, -0.912724, 0.388046)","(0.314573, -0.788479, -0.528531)","(-0.127864, -0.868566, -0.478795)"
1.678687,"(-0.123443, 0.991196, 0.047886)","(0.866919, -0.33624, 0.367959)","(0.660856, -0.613406, -0.432438)","(0.949391, 0.278497, -0.145248)","(0.769172, -0.081363, 0.633841)","(-0.307944, -0.790998, 0.52867)","(0.093292, -0.925944, 0.365956)","(0.196523, -0.807899, -0.555588)","(-0.081867, -0.900801, -0.426444)"
1.714123,"(-0.143897, 0.984989, 0.095344)","(0.818781, -0.408338, 0.403556)","(0.670718, -0.653329, -0.35114)","(0.974892, 0.210963, -0.07128)","(0.721565, -0.175847, 0.669644)","(-0.245439, -0.831091, 0.499046)","(0.067998, -0.936011, 0.34534)","(0.077235, -0.824664, -0.560326)","(-0.041906, -0.924235, -0.379517)"
1.749966,"(-0.162161, 0.977645, 0.133842)","(0.743492, -0.474444, 0.471298)","(0.687623, -0.671333, -0.276562)","(0.987157, 0.159308, 0.011947)","(0.659608, -0.250642, 0.708588)","(-0.199479, -0.865265, 0.459918)","(0.054845, -0.939429, 0.338326)","(-0.031548, -0.832376, -0.553312)","(-0.010231, -0.935854, -0.352239)"
1.767803,"(-0.170587, 0.973852, 0.150044)","(0.693576, -0.507843, 0.51093)","(0.698186, -0.674091, -0.241117)","(0.988379, 0.142622, 0.05259)","(0.624726, -0.276354, 0.730305)","(-0.180598, -0.878267, 0.442754)","(0.051453, -0.938075, 0.34259)","(-0.071445, -0.832452, -0.549471)","(0.002285, -0.937822, -0.347108)"
