time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
4.88,"(-0.00464649, 0.0227611, -1.53611e-05)","(-0.0876837, 0.965082, 0.246839)","(-0.0156518, -0.877704, 0.478947)","(0.670617, -0.671584, -0.315035)","(0.386897, 0.338599, 0.857707)","(0.261255, -0.950178, 0.170022)","(0.106352, -0.99033, -0.0890885)","(-0.0344188, -0.996362, 0.0779666)","(0.0502126, -0.882053, -0.468467)","(0.0881129, -0.78839, -0.608833)",0
4.9,"(-0.00461752, 0.0204505, -1.75514e-05)","(-0.0854902, 0.969947, 0.227805)","(-0.0878711, -0.881192, 0.464521)","(0.659164, -0.685708, -0.308718)","(0.445257, 0.28825, 0.847737)","(0.236765, -0.953435, 0.186825)","(0.106861, -0.990567, -0.0857756)","(-0.0376508, -0.998229, 0.0460492)","(0.055091, -0.888575, -0.455411)","(0.0747053, -0.791755, -0.606254)",0
4.94,"(-0.00462914, 0.0177337, -1.45219e-05)","(-0.0823798, 0.970954, 0.224638)","(-0.156014, -0.9007, 0.405461)","(0.631209, -0.72941, -0.263699)","(0.499371, 0.214331, 0.839459)","(0.17707, -0.943839, 0.278953)","(0.10452, -0.990418, -0.090268)","(-0.0430021, -0.999049, 0.0071873)","(0.0664133, -0.882236, -0.466099)","(0.0485524, -0.805615, -0.590447)",0
4.98,"(-0.00461936, 0.0141499, -9.30489e-06)","(-0.0706642, 0.969785, 0.233505)","(-0.242871, -0.916587, 0.317618)","(0.575147, -0.803293, -0.154682)","(0.567509, 0.069921, 0.820393)","(0.0280237, -0.888398, 0.458217)","(0.101146, -0.990442, -0.0937725)","(-0.0508003, -0.998023, -0.0369997)","(0.0804506, -0.876851, -0.473984)","(0.0239478, -0.832592, -0.553369)",0
5,"(-0.00457571, 0.0103083, -3.60491e-06)","(-0.0504338, 0.969236, 0.240912)","(-0.332218, -0.927591, 0.170898)","(0.488696, -0.872184, -0.0217053)","(0.58614, -0.19823, 0.785586)","(-0.180631, -0.724872, 0.664781)","(0.0945405, -0.991368, -0.0908357)","(-0.0589781, -0.998009, -0.0223736)","(0.096261, -0.864751, -0.492889)","(0.00768304, -0.839399, -0.543462)",0
5.04,"(-0.00452124, 0.00705448, 2.34688e-06)","(-0.0219052, 0.968725, 0.247168)","(-0.41022, -0.911941, 0.00915986)","(0.375464, -0.91355, 0.156377)","(0.520435, -0.529908, 0.669586)","(-0.370048, -0.429637, 0.823697)","(0.090683, -0.994098, -0.0595436)","(-0.0661888, -0.997718, -0.013303)","(0.106359, -0.863417, -0.493151)","(0.000667995, -0.855057, -0.518534)",0
5.08,"(-0.00452124, 0.00705448, 2.34688e-06)","(-0.00026023, 0.967863, 0.251477)","(-0.456082, -0.880068, -0.132174)","(0.271707, -0.920492, 0.280838)","(0.390131, -0.760595, 0.518934)","(-0.453403, -0.167746, 0.875378)","(0.0896028, -0.995621, -0.0266559)","(-0.070121, -0.997537, -0.00191992)","(0.111158, -0.868009, -0.483947)","(-0.0109457, -0.875105, -0.483809)",0
5.1,"(-0.00436157, 0.00378723, 8.09771e-06)","(0.0234342, 0.96559, 0.259013)","(-0.502097, -0.842847, -0.193669)","(0.15295, -0.898516, 0.411431)","(0.236048, -0.884104, 0.403287)","(-0.482245, 0.0939045, 0.870989)","(0.0955064, -0.995395, -0.00821474)","(-0.0739637, -0.997255, 0.00354028)","(0.105271, -0.872419, -0.477287)","(-0.0311587, -0.891525, -0.451899)",0
5.14,"(-0.00436157, 0.00378723, 8.09771e-06)","(0.041037, 0.965639, 0.256625)","(-0.567935, -0.797745, -0.202613)","(0.0273526, -0.886865, 0.461218)","(0.133408, -0.92067, 0.366837)","(-0.484731, 0.252702, 0.837363)","(0.088748, -0.995747, -0.0247355)","(-0.0824657, -0.996583, -0.00468368)","(0.0895756, -0.858319, -0.505237)","(-0.0419623, -0.885903, -0.461968)",0
5.18,"(-0.00436157, 0.00378723, 8.09771e-06)","(0.0592096, 0.969838, 0.236451)","(-0.654099, -0.731176, -0.193743)","(-0.0973842, -0.859818, 0.501228)","(0.0539216, -0.939986, 0.336927)","(-0.466093, 0.418627, 0.779428)","(0.0796226, -0.99578, -0.0456275)","(-0.0973018, -0.995138, -0.0152788)","(0.0702385, -0.827125, -0.557612)","(-0.049345, -0.880726, -0.471049)",0
5.2,"(-0.00408046, 0.00888701, 2.00367e-05)","(0.0663511, 0.974975, 0.212183)","(-0.730371, -0.662382, -0.166761)","(-0.185743, -0.831787, 0.523096)","(0.0426406, -0.943142, 0.329645)","(-0.440872, 0.489667, 0.752236)","(0.0917881, -0.995751, 0.00739023)","(-0.113562, -0.993398, -0.0162508)","(0.0209052, -0.769721, -0.638038)","(-0.0528344, -0.892117, -0.448704)",0
5.24,"(-0.00398827, 0.0124647, 2.48128e-05)","(0.0709535, 0.978169, 0.195324)","(-0.76608, -0.621301, -0.16464)","(-0.210805, -0.808436, 0.549538)","(0.0556882, -0.95172, 0.301874)","(-0.422335, 0.498983, 0.756736)","(0.136518, -0.980668, 0.140192)","(-0.123919, -0.992079, -0.0205639)","(-0.0332797, -0.710139, -0.703275)","(-0.0544382, -0.91099, -0.408819)",0
5.28,"(-0.00394009, 0.0159869, 2.86972e-05)","(0.0742777, 0.978962, 0.190043)","(-0.774072, -0.60603, -0.183139)","(-0.217344, -0.796247, 0.564582)","(0.0603941, -0.957169, 0.283161)","(-0.418701, 0.47375, 0.774759)","(0.179826, -0.954871, 0.236396)","(-0.127871, -0.991484, -0.0246711)","(-0.0826525, -0.674958, -0.733212)","(-0.0540648, -0.920504, -0.386974)",0
5.3,"(-0.00394771, 0.019059, 2.86302e-05)","(0.07758, 0.978623, 0.190471)","(-0.758605, -0.613613, -0.219083)","(-0.210322, -0.803006, 0.557625)","(0.057685, -0.959907, 0.27432)","(-0.41849, 0.437763, 0.795758)","(0.198654, -0.937975, 0.284147)","(-0.128403, -0.990923, -0.0398067)","(-0.0951882, -0.632493, -0.768695)","(-0.0404077, -0.910079, -0.412461)",0
5.34,"(-0.00394771, 0.019059, 2.86302e-05)","(0.082238, 0.974845, 0.207157)","(-0.719276, -0.643354, -0.262178)","(-0.195053, -0.825719, 0.529285)","(0.0366105, -0.957758, 0.285237)","(-0.445189, 0.393686, 0.80425)","(0.20164, -0.957681, 0.205398)","(-0.127111, -0.991387, -0.0315513)","(-0.0850006, -0.595823, -0.798605)","(-0.0295209, -0.906273, -0.421661)",0
5.38,"(-0.00394771, 0.019059, 2.86302e-05)","(0.0852649, 0.966645, 0.241511)","(-0.671828, -0.684283, -0.283556)","(-0.156835, -0.853654, 0.496666)","(0.0259684, -0.953189, 0.301258)","(-0.489637, 0.309539, 0.815132)","(0.191215, -0.97538, 0.109863)","(-0.12558, -0.991832, -0.022321)","(-0.0544679, -0.631763, -0.773246)","(-0.0175554, -0.899439, -0.436694)",0
5.4,"(-0.00407749, 0.0154189, 1.02107e-05)","(0.0843488, 0.955247, 0.28353)","(-0.621924, -0.726394, -0.292511)","(-0.0836192, -0.882884, 0.462087)","(0.0362568, -0.947475, 0.317767)","(-0.544801, 0.137035, 0.827293)","(0.168734, -0.985558, -0.0143215)","(-0.125456, -0.992033, -0.0114918)","(-0.011254, -0.728574, -0.684875)","(-0.00828177, -0.900471, -0.434837)",0
5.44,"(-0.00415121, 0.0113896, 3.95685e-06)","(0.0781538, 0.947893, 0.308853)","(-0.587199, -0.766927, -0.258881)","(0.0142841, -0.940917, 0.338337)","(0.101895, -0.907573, 0.407344)","(-0.56979, -0.122159, 0.81266)","(0.135345, -0.98595, -0.0978968)","(-0.125201, -0.991563, -0.0335729)","(0.0322793, -0.827823, -0.560059)","(0.00673396, -0.887422, -0.460908)",0
5.48,"(-0.00464603, 0.00640776, -1.93705e-06)","(0.0710136, 0.946648, 0.314349)","(-0.552843, -0.800811, -0.23036)","(0.0961863, -0.976176, 0.194496)","(0.16769, -0.853473, 0.493421)","(-0.543148, -0.342935, 0.766411)","(0.111014, -0.985104, -0.131325)","(-0.124824, -0.989823, -0.0683292)","(0.0593624, -0.852422, -0.519474)","(0.0226885, -0.872706, -0.487718)",0
5.5,"(-0.00524563, 0.00190254, -6.39346e-06)","(0.066544, 0.947637, 0.312338)","(-0.48542, -0.86318, -0.138877)","(0.169311, -0.984592, 0.0437391)","(0.280961, -0.722172, 0.632082)","(-0.482863, -0.524348, 0.701358)","(0.0953975, -0.981131, -0.168173)","(-0.119209, -0.987031, -0.107515)","(0.0813332, -0.857335, -0.508293)","(0.032381, -0.856131, -0.515743)",0
5.54,"(-0.00586625, -0.00146979, -7.8722e-06)","(0.0460534, 0.948372, 0.3138)","(-0.402248, -0.915482, 0.00938961)","(0.240352, -0.970301, -0.0273268)","(0.406471, -0.509986, 0.758087)","(-0.389883, -0.655921, 0.646343)","(0.090624, -0.980051, -0.176881)","(-0.11056, -0.988194, -0.10606)","(0.091315, -0.849299, -0.519955)","(0.0298124, -0.845801, -0.532665)",0
5.58,"(-0.00586625, -0.00146979, -7.8722e-06)","(0.0215555, 0.948914, 0.314797)","(-0.291628, -0.940096, 0.176558)","(0.316883, -0.941568, -0.114169)","(0.508633, -0.185009, 0.840871)","(-0.262601, -0.815021, 0.516509)","(0.0878827, -0.979023, -0.183824)","(-0.0976835, -0.991683, -0.0838052)","(0.100581, -0.838179, -0.536041)","(0.0212712, -0.830028, -0.557316)",0
