time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.667333,"(0.0279653, -0.00573748, 5.62295e-05)","(-0.876379, 0.0161345, -0.481351)","(-0.0633187, 0.988313, 0.138662)","(0.479507, 0.14899, -0.864797)","(-0.998572, -0.0506104, -0.0171079)","(-0.0633187, 0.988313, 0.138662)","(0.00977284, 0.139357, -0.990194)","(-0.0633187, 0.988313, 0.138662)","(0.282174, -0.958493, -0.0408438)","(-0.274981, -0.95076, 0.142971)","(0.0532193, -0.902829, -0.426693)","(-0.204703, -0.968497, -0.141808)","(0.54388, -0.81805, -0.187055)","(-0.151982, -0.979229, -0.134206)","(0.128871, -0.955776, 0.264356)","(-0.0451476, -0.984964, 0.166755)",0
0.7007,"(0.0325052, -0.00604175, 5.03114e-05)","(-0.940513, -0.0238525, -0.338921)","(-0.0679624, 0.993955, 0.0862189)","(0.33755, 0.10001, -0.93598)","(-0.981833, -0.0665691, 0.177686)","(-0.0679624, 0.993955, 0.0862189)","(-0.183415, 0.0743757, -0.980218)","(-0.0679624, 0.993955, 0.0862189)","(0.141505, -0.988491, -0.0534931)","(-0.229043, -0.95453, 0.190816)","(-0.40586, -0.780328, -0.47578)","(-0.243796, -0.957593, -0.153555)","(0.517976, -0.833822, -0.190894)","(-0.164538, -0.973089, -0.161322)","(0.146822, -0.94205, 0.301638)","(-0.0639574, -0.974608, 0.214589)",0
0.734067,"(0.0371193, -0.00704408, 4.21615e-05)","(-0.987215, -0.0577514, -0.148563)","(-0.0657709, 0.997805, 0.00775611)","(0.147929, 0.0171647, -0.988849)","(-0.940541, -0.0628821, 0.33381)","(-0.0657709, 0.997805, 0.00775611)","(-0.334088, -0.0139024, -0.94244)","(-0.0657709, 0.997805, 0.00775611)","(0.0107812, -0.998872, -0.046245)","(-0.193863, -0.947911, 0.25275)","(-0.688362, -0.602029, -0.404622)","(-0.278154, -0.952243, -0.125952)","(0.457633, -0.866057, -0.201292)","(-0.196794, -0.96547, -0.170703)","(0.201753, -0.948548, 0.244034)","(-0.0839149, -0.980577, 0.177279)",0
0.767433,"(0.0417547, -0.00900635, 3.26921e-05)","(-0.996094, -0.055096, 0.0690082)","(-0.0575373, 0.998196, -0.0171727)","(-0.0680808, -0.0191148, -0.997497)","(-0.908547, -0.045278, 0.415321)","(-0.0575373, 0.998196, -0.0171727)","(-0.41388, -0.03857, -0.909514)","(-0.0575373, 0.998196, -0.0171727)","(-0.08206, -0.992301, 0.0927643)","(-0.183649, -0.926728, 0.327793)","(-0.736259, -0.668291, -0.106349)","(-0.272107, -0.960345, -0.0607813)","(0.372935, -0.910333, -0.179478)","(-0.247126, -0.954093, -0.169218)","(0.288078, -0.948542, 0.131451)","(-0.104926, -0.991516, 0.0767284)",0
0.8008,"(0.0460097, -0.0123457, 2.65965e-05)","(-0.966607, -0.0415103, 0.25288)","(-0.046817, 0.9987, -0.0201591)","(-0.251683, -0.0302991, -0.967335)","(-0.873708, -0.0320104, 0.485396)","(-0.046817, 0.9987, -0.0201591)","(-0.484084, -0.0399755, -0.874108)","(-0.046817, 0.9987, -0.0201591)","(-0.10678, -0.984865, 0.136527)","(-0.208675, -0.906567, 0.366867)","(-0.722306, -0.691051, 0.0268862)","(-0.258014, -0.965635, -0.0312653)","(0.30403, -0.938449, -0.163947)","(-0.316447, -0.937084, -0.147424)","(0.339765, -0.940485, 0.00689205)","(-0.117957, -0.992073, -0.0433348)",0
0.834167,"(0.0494379, -0.0165442, 2.09399e-05)","(-0.922058, -0.0276433, 0.386063)","(-0.0310889, 0.999498, -0.00607414)","(-0.385615, -0.0170399, -0.922503)","(-0.843898, -0.023253, 0.536)","(-0.0310889, 0.999498, -0.00607414)","(-0.535528, -0.021717, -0.844238)","(-0.0310889, 0.999498, -0.00607414)","(-0.100164, -0.994937, 0.00819256)","(-0.291058, -0.929941, 0.224711)","(-0.669871, -0.711224, 0.213151)","(-0.268768, -0.867333, -0.418924)","(0.27044, -0.948088, -0.167308)","(-0.385255, -0.911476, -0.14419)","(0.364065, -0.930558, -0.0389662)","(-0.135345, -0.983512, -0.119945)",0
0.867533,"(0.0520912, -0.0212381, 2.06099e-05)","(-0.880283, -0.0139077, 0.474244)","(-0.0100962, 0.99993, 0.00623879)","(-0.474042, 0.00198258, -0.8805)","(-0.837933, -0.0119319, 0.545643)","(-0.0100962, 0.99993, 0.00623879)","(-0.545451, -0.000265976, -0.838143)","(-0.0100962, 0.99993, 0.00623879)","(-0.0877748, -0.992256, -0.0878802)","(-0.384179, -0.922886, -0.0262385)","(0, 0, 0)","(-0.195778, -0.407966, -0.891759)","(0.275881, -0.939964, -0.20089)","(-0.458829, -0.876575, -0.145229)","(0.362574, -0.928909, -0.0752805)","(-0.16058, -0.974867, -0.154427)",0
0.9009,"(0.0540267, -0.0253906, 2.33915e-05)","(-0.842388, -0.00188096, 0.538869)","(0.0153563, 0.999548, 0.0258383)","(-0.538462, 0.0305788, -0.842095)","(-0.848133, 6.09246e-05, 0.529783)","(0.0153563, 0.999548, 0.0258383)","(-0.529334, 0.0297935, -0.84789)","(0.0153563, 0.999548, 0.0258383)","(-0.0653574, -0.949971, -0.305424)","(-0.445741, -0.843536, -0.299604)","(0, 0, 0)","(-0.038508, 0.104338, -0.993796)","(0.293957, -0.928475, -0.226988)","(-0.522535, -0.839024, -0.151645)","(0.368466, -0.92594, -0.0828746)","(-0.18651, -0.965025, -0.184229)",0
0.934267,"(0.055066, -0.0286725, 2.55133e-05)","(-0.844467, 0.00926581, 0.535527)","(0.0361664, 0.998498, 0.0411646)","(-0.534309, 0.0540216, -0.843561)","(-0.884329, 0.0143556, 0.466643)","(0.0361664, 0.998498, 0.0411646)","(-0.465301, 0.0529569, -0.883567)","(0.0361664, 0.998498, 0.0411646)","(0, 0, 0)","(-0.47165, -0.766353, -0.436177)","(0, 0, 0)","(0.0626021, 0.228753, -0.97147)","(0.318773, -0.914679, -0.24849)","(-0.55946, -0.811873, -0.166934)","(0.362011, -0.92842, -0.0835777)","(-0.213058, -0.957262, -0.195591)",0
0.967633,"(0.055066, -0.0286725, 2.55133e-05)","(-0.899818, 0.0243028, 0.435587)","(0.0466551, 0.998316, 0.0344612)","(-0.434328, 0.0495933, -0.899388)","(-0.937066, 0.0293894, 0.347913)","(0.0466551, 0.998316, 0.0344612)","(-0.346584, 0.0471619, -0.936833)","(0.0466551, 0.998316, 0.0344612)","(0, 0, 0)","(-0.491877, -0.69556, -0.523692)","(0, 0, 0)","(0.136096, 0.286003, -0.948515)","(0.349973, -0.901449, -0.254773)","(-0.572557, -0.800765, -0.175937)","(0.333086, -0.94284, -0.0102919)","(-0.239485, -0.956151, -0.168588)",0
