time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.3013,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0311308, 0.99858, 0.0432244)","(-0.0176139, -0.909108, 0.416188)","(-0.150662, -0.882441, 0.445645)","(0.399846, -0.537567, 0.742391)","(-0.322403, -0.620906, 0.714515)","(0.0239567, -0.862672, 0.505196)","(-0.195786, -0.503063, 0.841781)","(0, 0, 0)","(0.165694, -0.306917, -0.937202)",0
1.33467,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0312985, 0.998591, 0.0428616)","(-0.0176782, -0.910212, 0.413766)","(-0.150393, -0.882296, 0.446023)","(0.401207, -0.540134, 0.739789)","(-0.322091, -0.621704, 0.713961)","(0.0229819, -0.86347, 0.503876)","(-0.20171, -0.505751, 0.838767)","(0, 0, 0)","(0.173121, -0.302086, -0.937429)",0
1.36803,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0315979, 0.99863, 0.0417029)","(-0.0177334, -0.912039, 0.40972)","(-0.149997, -0.882407, 0.445936)","(0.402262, -0.542795, 0.737265)","(-0.321713, -0.622629, 0.713326)","(0.0223192, -0.864013, 0.502974)","(-0.207678, -0.507493, 0.836254)","(0, 0, 0)","(0.181214, -0.298074, -0.937184)",0
1.4014,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0318565, 0.998683, 0.0402072)","(-0.0177594, -0.914035, 0.405245)","(-0.149802, -0.882742, 0.445337)","(0.402804, -0.545211, 0.735183)","(-0.321289, -0.623652, 0.712623)","(0.0218738, -0.864015, 0.502991)","(-0.212287, -0.508411, 0.834537)","(0, 0, 0)","(0.187739, -0.295571, -0.936692)",0
1.43477,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0320812, 0.998737, 0.0386574)","(-0.0177162, -0.915919, 0.400971)","(-0.149661, -0.883255, 0.444367)","(0.402586, -0.547069, 0.733921)","(-0.320844, -0.624682, 0.711921)","(0.0216868, -0.863993, 0.503036)","(-0.214493, -0.511078, 0.832341)","(0, 0, 0)","(0.191368, -0.290907, -0.937418)",0
1.46813,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0322041, 0.998749, 0.0382579)","(-0.017761, -0.916807, 0.398935)","(-0.149757, -0.884279, 0.442294)","(0.402306, -0.547822, 0.733512)","(-0.320511, -0.62587, 0.711027)","(0.0213, -0.863307, 0.50423)","(-0.215065, -0.514743, 0.829932)","(0, 0, 0)","(0.192816, -0.284916, -0.938959)",0
1.5015,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0323398, 0.99872, 0.038881)","(-0.0179976, -0.917518, 0.397286)","(-0.150058, -0.885503, 0.439735)","(0.401906, -0.54741, 0.73404)","(-0.320314, -0.627183, 0.709958)","(0.0209585, -0.862594, 0.505463)","(-0.215051, -0.521789, 0.825523)","(0, 0, 0)","(0.192722, -0.273843, -0.942268)",0
1.53487,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0325574, 0.998648, 0.0405137)","(-0.0182807, -0.918299, 0.395465)","(-0.150618, -0.887112, 0.436286)","(0.401556, -0.545795, 0.735432)","(-0.320008, -0.628262, 0.709142)","(0.020677, -0.861892, 0.50667)","(-0.215475, -0.529379, 0.820566)","(0, 0, 0)","(0.192215, -0.262968, -0.945464)",0
1.56823,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0327715, 0.998486, 0.0441818)","(-0.0187178, -0.920079, 0.391285)","(-0.151337, -0.889295, 0.431568)","(0.401204, -0.544155, 0.736838)","(-0.319396, -0.629005, 0.708759)","(0.0205817, -0.861762, 0.506896)","(-0.215742, -0.538694, 0.81441)","(0, 0, 0)","(0.19093, -0.250207, -0.94918)",0
1.6016,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0329982, 0.998146, 0.0511537)","(-0.019094, -0.922711, 0.385018)","(-0.152222, -0.891998, 0.425638)","(0.401587, -0.543897, 0.73682)","(-0.318216, -0.628417, 0.709811)","(0.0206183, -0.861904, 0.506652)","(-0.216236, -0.547813, 0.808172)","(0, 0, 0)","(0.190014, -0.241735, -0.951556)",0
1.63497,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0331261, 0.99779, 0.0576043)","(-0.0193056, -0.925046, 0.379365)","(-0.152885, -0.894066, 0.421037)","(0.402309, -0.544064, 0.736303)","(-0.317278, -0.626975, 0.711504)","(0.0209926, -0.862385, 0.505818)","(-0.216502, -0.553921, 0.803927)","(0, 0, 0)","(0.189434, -0.238136, -0.952579)",0
1.66833,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0332303, 0.99719, 0.0671435)","(-0.0189837, -0.925234, 0.378923)","(-0.153255, -0.894144, 0.420737)","(0.403997, -0.543327, 0.735923)","(-0.31605, -0.622087, 0.716324)","(0.0219623, -0.863008, 0.504712)","(-0.214779, -0.559268, 0.800681)","(0, 0, 0)","(0.186636, -0.23745, -0.953302)",0
1.7017,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0332154, 0.996261, 0.0797523)","(-0.0180545, -0.922846, 0.384745)","(-0.153291, -0.891877, 0.425507)","(0.404939, -0.539831, 0.737975)","(-0.314712, -0.614886, 0.723099)","(0.0228548, -0.863513, 0.503808)","(-0.210585, -0.56178, 0.800036)","(0, 0, 0)","(0.181675, -0.238286, -0.954051)",0
1.73507,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0332392, 0.995072, 0.0934167)","(-0.0169759, -0.921104, 0.388946)","(-0.15331, -0.889793, 0.429843)","(0.405941, -0.535659, 0.74046)","(-0.313505, -0.607008, 0.730244)","(0.0248897, -0.863937, 0.502984)","(-0.204518, -0.565732, 0.798824)","(0, 0, 0)","(0.173727, -0.236944, -0.955864)",0
1.76843,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0334344, 0.994198, 0.102241)","(-0.016278, -0.921386, 0.388307)","(-0.153501, -0.889202, 0.430996)","(0.406109, -0.532638, 0.742544)","(-0.313545, -0.602648, 0.733829)","(0.0295873, -0.864665, 0.501477)","(-0.198931, -0.572271, 0.795571)","(0, 0, 0)","(0.166444, -0.23283, -0.958168)",0
1.8018,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0336977, 0.994075, 0.103343)","(-0.0158921, -0.923013, 0.38444)","(-0.153553, -0.89015, 0.429015)","(0.406575, -0.531924, 0.742801)","(-0.314593, -0.602032, 0.733886)","(0.0366963, -0.864863, 0.500666)","(-0.195177, -0.577982, 0.792365)","(0, 0, 0)","(0.161436, -0.230199, -0.95966)",0
1.83517,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0338999, 0.994161, 0.102442)","(-0.0154309, -0.923894, 0.382337)","(-0.153537, -0.890924, 0.427412)","(0.406368, -0.532308, 0.742639)","(-0.315756, -0.603047, 0.732552)","(0.0422733, -0.863193, 0.503101)","(-0.192435, -0.577489, 0.793395)","(0, 0, 0)","(0.160073, -0.233456, -0.959101)",0
1.86853,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0339249, 0.994311, 0.10097)","(-0.0147788, -0.923637, 0.382983)","(-0.153482, -0.890942, 0.427393)","(0.406147, -0.53324, 0.742092)","(-0.316627, -0.604007, 0.731384)","(0.0434276, -0.859027, 0.510085)","(-0.188152, -0.562508, 0.805099)","(0, 0, 0)","(0.162154, -0.24877, -0.954892)",0
