time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.7,"(0.293493, -0.00992261, -1.95327e-05)","(0.835121, 0.193518, -0.514901)","(-0.0723128, 0.966543, 0.2461)","(0.545308, -0.168344, 0.821157)","(0.691376, 0.2264, -0.686106)","(-0.0723128, 0.966543, 0.2461)","(0.718874, -0.120563, 0.684605)","(-0.0723128, 0.966543, 0.2461)","(0.748251, -0.301952, 0.590716)","(0.989602, -0.143621, 0.00781006)","(0.970968, -0.0704522, 0.228598)","(0.938052, -0.0119026, 0.346289)","(-0.121799, -0.992541, -0.00532711)","(0.158794, -0.987289, 0.00664363)","(-0.208866, -0.873016, -0.440702)","(0.259281, -0.906018, -0.334523)",0
0.74,"(0.301905, -0.0125753, -2.08201e-05)","(0.84633, 0.191722, -0.496959)","(-0.0740284, 0.966261, 0.246697)","(0.52749, -0.172014, 0.831965)","(0.697955, 0.226896, -0.679247)","(-0.0740284, 0.966261, 0.246697)","(0.712305, -0.121909, 0.691201)","(-0.0740284, 0.966261, 0.246697)","(0.742452, -0.31369, 0.591915)","(0.986864, -0.160357, -0.0196018)","(0.969688, -0.0633944, 0.235979)","(0.945669, -0.0134791, 0.324852)","(-0.143274, -0.987544, -0.0650323)","(0.143537, -0.989563, -0.0127671)","(-0.250418, -0.850224, -0.463044)","(0.221494, -0.904924, -0.36339)",0
0.78,"(0.310638, -0.0148592, -2.12971e-05)","(0.846845, 0.189373, -0.496981)","(-0.0823077, 0.969796, 0.229609)","(0.52558, -0.153542, 0.836774)","(0.695615, 0.220653, -0.68369)","(-0.0823077, 0.969796, 0.229609)","(0.713917, -0.103497, 0.69254)","(-0.0823077, 0.969796, 0.229609)","(0.732446, -0.336197, 0.592026)","(0.982388, -0.17649, -0.0613674)","(0.975611, -0.0578744, 0.211738)","(0.95589, -0.00840399, 0.293604)","(-0.157291, -0.980474, -0.118026)","(0.112621, -0.991863, -0.0593671)","(-0.318066, -0.835996, -0.447152)","(0.16904, -0.903947, -0.392817)",0
0.8,"(0.320374, -0.0168173, -2.07425e-05)","(0.844718, 0.175298, -0.50569)","(-0.0893663, 0.977643, 0.190338)","(0.528436, -0.115596, 0.841066)","(0.698509, 0.19777, -0.68773)","(-0.0893663, 0.977643, 0.190338)","(0.710724, -0.0712057, 0.699858)","(-0.0893663, 0.977643, 0.190338)","(0.726447, -0.381078, 0.571887)","(0.977294, -0.194511, -0.0840328)","(0.982142, -0.0503523, 0.181278)","(0.96119, 0.0157904, 0.275433)","(-0.166151, -0.981815, -0.0918304)","(0.0665444, -0.992137, -0.106002)","(-0.369518, -0.831286, -0.415235)","(0.114358, -0.892891, -0.435508)",0
0.84,"(0.328278, -0.0175941, -2.07454e-05)","(0.842304, 0.153876, -0.516572)","(-0.0932899, 0.985492, 0.141786)","(0.531545, -0.0712448, 0.844028)","(0.701203, 0.166375, -0.693277)","(-0.0932899, 0.985492, 0.141786)","(0.707339, -0.034343, 0.70604)","(-0.0932899, 0.985492, 0.141786)","(0.71041, -0.450953, 0.540332)","(0.968607, -0.227139, -0.101034)","(0.98796, -0.0116339, 0.154271)","(0.96172, 0.0658255, 0.266011)","(-0.14018, -0.988896, -0.049331)","(0.0235155, -0.994323, -0.103772)","(-0.41357, -0.821162, -0.393261)","(0.0792787, -0.899829, -0.428979)",0
0.88,"(0.334561, -0.0165867, -2.06985e-05)","(0.840848, 0.131297, -0.525106)","(-0.0888815, 0.990445, 0.105442)","(0.534114, -0.0420269, 0.844367)","(0.709308, 0.137255, -0.691406)","(-0.0888815, 0.990445, 0.105442)","(0.699404, -0.0133142, 0.714602)","(-0.0888814, 0.990445, 0.105442)","(0.689089, -0.50764, 0.517163)","(0.960845, -0.256045, -0.105914)","(0.985204, 0.0354452, 0.16768)","(0.956501, 0.119725, 0.266029)","(-0.0942505, -0.995536, -0.00495006)","(-0.00515309, -0.996833, -0.0793613)","(-0.446488, -0.805523, -0.389592)","(0.0502105, -0.911535, -0.408146)",0
0.9,"(0.339656, -0.013238, -2.23743e-05)","(0.839139, 0.108012, -0.533085)","(-0.0769917, 0.993796, 0.0802621)","(0.538593, -0.0264181, 0.842152)","(0.710844, 0.111163, -0.694509)","(-0.0769917, 0.993796, 0.0802621)","(0.699179, -0.00357798, 0.714938)","(-0.0769917, 0.993796, 0.0802621)","(0.641807, -0.598424, 0.479553)","(0.936648, -0.332396, -0.110471)","(0.966708, 0.149423, 0.207723)","(0.938322, 0.209952, 0.274722)","(-0.0324962, -0.999447, 0.00708921)","(-0.0206965, -0.99947, -0.0251336)","(-0.439723, -0.785625, -0.435245)","(0.0251185, -0.935723, -0.351841)",0
0.94,"(0.34385, -0.00829281, -2.51169e-05)","(0.838013, 0.0841308, -0.539126)","(-0.0568469, 0.996126, 0.0670944)","(0.542642, -0.0256759, 0.839571)","(0.725707, 0.0871306, -0.682465)","(-0.0568469, 0.996126, 0.0670944)","(0.685534, -0.00944519, 0.727979)","(-0.0568469, 0.996126, 0.0670944)","(0.507984, -0.724628, 0.465689)","(0.878325, -0.46597, -0.106852)","(0.922385, 0.267522, 0.278634)","(0.901566, 0.30505, 0.306796)","(0.00316073, -0.999965, -0.00777773)","(-0.0358536, -0.999258, 0.0140393)","(-0.372436, -0.792238, -0.483374)","(0.00669324, -0.950779, -0.309797)",0
0.98,"(0.348273, -0.0027706, -2.81491e-05)","(0.837649, 0.0591538, -0.542997)","(-0.0342474, 0.99785, 0.0558784)","(0.545015, -0.0282131, 0.837952)","(0.748064, 0.0622328, -0.660703)","(-0.0342474, 0.99785, 0.0558784)","(0.662617, -0.0185866, 0.748728)","(-0.0342474, 0.99785, 0.0558784)","(0.276662, -0.859829, 0.429131)","(0.752248, -0.656344, -0.0577569)","(0.879796, 0.327556, 0.34448)","(0.808429, 0.39356, 0.437667)","(0.0437418, -0.998516, -0.0324507)","(-0.0564189, -0.996561, 0.0606859)","(-0.296777, -0.782504, -0.547367)","(-0.00961959, -0.966213, -0.257564)",0
1,"(0.353779, 0.00254347, -3.24391e-05)","(0.838096, 0.0419458, -0.543907)","(-0.0181051, 0.998629, 0.0491192)","(0.545256, -0.0313188, 0.837684)","(0.778108, 0.0450141, -0.626515)","(-0.0181051, 0.998629, 0.0491192)","(0.627883, -0.0264979, 0.777856)","(-0.0181051, 0.998629, 0.0491192)","(0.00340291, -0.91352, 0.406779)","(0.562846, -0.826505, 0.00969328)","(0.860306, 0.28006, 0.425957)","(0.712124, 0.409308, 0.570391)","(0.0847476, -0.995359, -0.0455958)","(-0.0810201, -0.994205, 0.0706535)","(-0.264997, -0.786184, -0.558293)","(-0.037195, -0.969781, -0.241124)",0
