time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.866667,"(0.00617434, -0.0194244, -6.93807e-05)","(-0.213998, 0.971555, 0.101424)","(-0.103635, -0.970189, -0.219075)","(0.873007, -0.477431, 0.0995912)","(-0.147192, -0.92541, 0.349216)","(-0.642003, -0.700696, 0.31122)","(-0.507868, -0.851375, 0.131264)","(-0.576223, -0.672478, 0.464478)","(0, 0, 0)","(0, 0, 0)",0
0.9,"(0.00573425, -0.0159383, -7.20611e-05)","(-0.212444, 0.972781, 0.092541)","(-0.0966229, -0.973704, -0.206312)","(0.871686, -0.47974, 0.100063)","(-0.157525, -0.918733, 0.362099)","(-0.640919, -0.710309, 0.291006)","(-0.537487, -0.832475, 0.134509)","(-0.631743, -0.61901, 0.466613)","(0, 0, 0)","(0, 0, 0)",0
0.933333,"(0.00516921, -0.0123084, -7.3112e-05)","(-0.210526, 0.973539, 0.0888861)","(-0.0889069, -0.976292, -0.197356)","(0.870037, -0.482865, 0.0993794)","(0, 0, 0)","(-0.642986, -0.720768, 0.258966)","(-0.560798, -0.816434, 0.13763)","(-0.668823, -0.576566, 0.469306)","(0, 0, 0)","(0, 0, 0)",0
0.966667,"(0.00451531, -0.00901589, -7.30639e-05)","(-0.208615, 0.974012, 0.0882089)","(-0.083748, -0.977364, -0.194285)","(0.869886, -0.483422, 0.0979915)","(0, 0, 0)","(-0.648245, -0.724925, 0.232941)","(-0.573136, -0.807635, 0.138712)","(-0.671995, -0.567403, 0.475896)","(0, 0, 0)","(0, 0, 0)",0
1,"(0.00325187, -0.00626562, -7.16256e-05)","(-0.207948, 0.974035, 0.08952)","(-0.0879039, -0.974776, -0.205145)","(0.871198, -0.482664, 0.0897252)","(0, 0, 0)","(-0.655791, -0.728355, 0.198588)","(-0.578462, -0.803521, 0.140483)","(-0.636095, -0.60411, 0.480036)","(0, 0, 0)","(0, 0, 0)",0
1.03333,"(0.00218083, -0.00399091, -7.14345e-05)","(-0.206242, 0.974357, 0.0899569)","(-0.0920516, -0.972233, -0.215151)","(0.871772, -0.483167, 0.0810087)","(0, 0, 0)","(-0.659906, -0.729341, 0.180515)","(-0.583409, -0.799113, 0.145091)","(-0.567953, -0.65685, 0.495962)","(0, 0, 0)","(0, 0, 0)",0
1.06667,"(0.00102097, -0.00213068, -7.21434e-05)","(-0.203681, 0.974862, 0.0903249)","(-0.0944758, -0.969846, -0.224663)","(0.870023, -0.48728, 0.0749506)","(0, 0, 0)","(-0.667386, -0.723486, 0.176535)","(-0.586407, -0.795051, 0.154983)","(-0.499268, -0.702312, 0.507434)","(0, 0, 0)","(0, 0, 0)",0
1.1,"(-0.00047313, -0.000527811, -7.42467e-05)","(-0.201232, 0.975371, 0.090323)","(-0.0968786, -0.968439, -0.229651)","(0.864087, -0.498364, 0.0706199)","(0, 0, 0)","(-0.674725, -0.714014, 0.186894)","(-0.591417, -0.782015, 0.19667)","(-0.411978, -0.756612, 0.507752)","(0, 0, 0)","(0, 0, 0)",0
1.13333,"(-0.00196311, 0.00109785, -7.67434e-05)","(-0.199073, 0.975781, 0.0906743)","(-0.0988343, -0.966084, -0.238564)","(0.858378, -0.509458, 0.0603246)","(0, 0, 0)","(-0.682588, -0.706035, 0.188646)","(-0.599429, -0.760642, 0.249215)","(-0.353323, -0.808335, 0.470911)","(0, 0, 0)","(0, 0, 0)",0
1.16667,"(-0.00298353, 0.00285468, -8.21868e-05)","(-0.19874, 0.975457, 0.094791)","(-0.112265, -0.959947, -0.256708)","(0.853947, -0.517774, 0.0518079)","(0, 0, 0)","(-0.681875, -0.701622, 0.206818)","(-0.6137, -0.726742, 0.308575)","(-0.295257, -0.851579, 0.433171)","(0, 0, 0)","(0, 0, 0)",0
