time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.967633,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.843696, -0.128499, 0.521215)","(0.206542, 0.973886, -0.0942651)","(-0.495492, 0.187189, 0.848203)","(0.629004, -0.0583782, 0.775207)","(0.206542, 0.973886, -0.0942651)","(-0.749461, 0.219416, 0.624631)","(0.206542, 0.973886, -0.0942651)","(0, 0, 0)","(-0.698874, -0.694633, -0.170469)","(0, 0, 0)","(-0.641474, 0.247521, -0.726116)","(-0.172506, -0.984833, -0.0185815)","(0.136249, -0.98866, 0.0631485)","(-0.00693738, -0.986584, -0.163108)","(0.51396, -0.817645, -0.259425)",0
1.001,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.839839, -0.12943, 0.527179)","(0.206228, 0.974416, -0.0893477)","(-0.502135, 0.183771, 0.845038)","(0.622791, -0.0603076, 0.78006)","(0.206228, 0.974416, -0.0893477)","(-0.754717, 0.216544, 0.619282)","(0.206228, 0.974416, -0.0893477)","(0, 0, 0)","(-0.695571, -0.696853, -0.174862)","(0, 0, 0)","(-0.624048, 0.261645, -0.736279)","(-0.172487, -0.984792, -0.0208221)","(0.137364, -0.988514, 0.0630199)","(-0.00308906, -0.985697, -0.168497)","(0.515426, -0.815855, -0.262137)",0
1.03437,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.836326, -0.13153, 0.53222)","(0.206321, 0.974932, -0.0833068)","(-0.507931, 0.179495, 0.842489)","(0.615556, -0.063163, 0.785558)","(0.206321, 0.974932, -0.0833068)","(-0.760606, 0.213386, 0.613144)","(0.206321, 0.974932, -0.0833068)","(0, 0, 0)","(-0.692658, -0.698475, -0.179882)","(0, 0, 0)","(-0.607634, 0.272054, -0.746169)","(-0.172562, -0.984733, -0.0229011)","(0.138431, -0.988389, 0.0626438)","(-0.000830017, -0.984854, -0.173385)","(0.516848, -0.814345, -0.264026)",0
1.06773,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.833346, -0.134416, 0.53616)","(0.206732, 0.975378, -0.0768144)","(-0.51264, 0.174863, 0.840609)","(0.609828, -0.0670733, 0.78969)","(0.206732, 0.975378, -0.0768144)","(-0.765098, 0.210112, 0.608669)","(0.206732, 0.975378, -0.0768144)","(0, 0, 0)","(-0.691361, -0.69877, -0.183686)","(0, 0, 0)","(-0.592908, 0.278593, -0.755543)","(-0.172778, -0.98465, -0.0247447)","(0.139436, -0.988283, 0.0620773)","(-6.99311e-05, -0.984258, -0.176738)","(0.517774, -0.813136, -0.265933)",0
1.1011,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.831237, -0.13725, 0.53871)","(0.206833, 0.97583, -0.0705411)","(-0.516017, 0.170065, 0.839526)","(0.607821, -0.0716589, 0.790834)","(0.206833, 0.97583, -0.070541)","(-0.766674, 0.206443, 0.607941)","(0.206833, 0.97583, -0.0705411)","(0, 0, 0)","(-0.689929, -0.700436, -0.18272)","(0, 0, 0)","(-0.593849, 0.275751, -0.755847)","(-0.173117, -0.984542, -0.0265941)","(0.140706, -0.988136, 0.0615602)","(0.000369447, -0.983723, -0.179694)","(0.517529, -0.812399, -0.268647)",0
1.13447,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.829993, -0.139624, 0.540016)","(0.206756, 0.976206, -0.0653793)","(-0.518044, 0.165918, 0.839108)","(0.608696, -0.0760174, 0.789753)","(0.206756, 0.976206, -0.0653793)","(-0.765999, 0.203072, 0.609924)","(0.206756, 0.976206, -0.0653793)","(0, 0, 0)","(-0.688252, -0.703082, -0.178841)","(0, 0, 0)","(-0.601792, 0.268926, -0.752014)","(-0.173259, -0.984476, -0.0280935)","(0.14211, -0.987956, 0.0612106)","(0.000672306, -0.983284, -0.182077)","(0.516487, -0.811878, -0.272203)",0
1.16783,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.829129, -0.142064, 0.540707)","(0.206583, 0.976576, -0.0601962)","(-0.519493, 0.161613, 0.839052)","(0.611239, -0.0807628, 0.787315)","(0.206583, 0.976576, -0.0601962)","(-0.764016, 0.199432, 0.613601)","(0.206583, 0.976576, -0.0601962)","(0, 0, 0)","(-0.686302, -0.706111, -0.174348)","(0, 0, 0)","(-0.614939, 0.258263, -0.745084)","(-0.173199, -0.984454, -0.0292012)","(0.143761, -0.98773, 0.0610019)","(0.000984196, -0.983, -0.183602)","(0.515059, -0.811576, -0.275789)",0
1.2012,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.828469, -0.143694, 0.541287)","(0.206377, 0.976837, -0.0565565)","(-0.520627, 0.158566, 0.83893)","(0.613471, -0.0841386, 0.785223)","(0.206377, 0.976837, -0.0565564)","(-0.762281, 0.19674, 0.61662)","(0.206377, 0.976837, -0.0565565)","(0, 0, 0)","(-0.685082, -0.707779, -0.17237)","(0, 0, 0)","(-0.622313, 0.250589, -0.741574)","(-0.173038, -0.984468, -0.0296735)","(0.145265, -0.987523, 0.0607962)","(0.00108398, -0.982954, -0.183847)","(0.513673, -0.811511, -0.278549)",0
1.23457,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.827784, -0.145472, 0.541859)","(0.20612, 0.977114, -0.0525621)","(-0.521814, 0.155199, 0.838823)","(0.615545, -0.0877122, 0.783205)","(0.20612, 0.977114, -0.0525621)","(-0.760673, 0.193784, 0.619535)","(0.20612, 0.977114, -0.0525621)","(0, 0, 0)","(-0.684707, -0.708183, -0.172203)","(0, 0, 0)","(-0.626945, 0.244182, -0.739808)","(-0.17279, -0.984502, -0.0299909)","(0.146717, -0.987321, 0.0605921)","(0.00113541, -0.982952, -0.18386)","(0.512352, -0.811603, -0.280705)",0
1.26793,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.827299, -0.146141, 0.542419)","(0.205776, 0.977293, -0.0505457)","(-0.522716, 0.153434, 0.838586)","(0.61745, -0.089587, 0.781492)","(0.205776, 0.977293, -0.0505457)","(-0.75922, 0.19202, 0.621863)","(0.205776, 0.977293, -0.0505457)","(0, 0, 0)","(-0.685099, -0.707799, -0.17222)","(0, 0, 0)","(-0.627908, 0.24002, -0.740352)","(-0.172456, -0.984563, -0.0299138)","(0.147669, -0.987188, 0.0604511)","(0.00112125, -0.983013, -0.18353)","(0.511308, -0.811814, -0.281996)",0
1.3013,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.827078, -0.145926, 0.542815)","(0.204904, 0.977534, -0.0494168)","(-0.523408, 0.152096, 0.838398)","(0.619436, -0.0904182, 0.779823)","(0.204904, 0.977534, -0.0494168)","(-0.757835, 0.1904, 0.624047)","(0.204904, 0.977534, -0.0494169)","(0, 0, 0)","(-0.685931, -0.706801, -0.173005)","(0, 0, 0)","(-0.627099, 0.235245, -0.742568)","(-0.172232, -0.984613, -0.0295506)","(0.148086, -0.987118, 0.0605683)","(0.00116589, -0.983257, -0.182218)","(0.510182, -0.812132, -0.28312)",0
1.33467,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.827132, -0.144707, 0.543058)","(0.203397, 0.977858, -0.0492267)","(-0.52391, 0.151173, 0.838251)","(0.622046, -0.0902287, 0.777764)","(0.203397, 0.977858, -0.0492267)","(-0.7561, 0.188819, 0.626626)","(0.203397, 0.977858, -0.0492267)","(0, 0, 0)","(-0.686203, -0.70651, -0.173117)","(0, 0, 0)","(-0.626489, 0.232249, -0.744024)","(-0.172235, -0.984624, -0.0291703)","(0.147808, -0.987138, 0.0609214)","(0.00134956, -0.983584, -0.180448)","(0.509229, -0.812461, -0.283889)",0
1.36803,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.827501, -0.141749, 0.543277)","(0.201247, 0.978196, -0.0513059)","(-0.524163, 0.151788, 0.837982)","(0.624539, -0.0877843, 0.776044)","(0.201247, 0.978196, -0.0513059)","(-0.754619, 0.188224, 0.628587)","(0.201247, 0.978196, -0.0513059)","(0, 0, 0)","(-0.687378, -0.70436, -0.177167)","(0, 0, 0)","(-0.61625, 0.239707, -0.750184)","(-0.172568, -0.984591, -0.0283099)","(0.146443, -0.987315, 0.061344)","(0.00158151, -0.984056, -0.177849)","(0.508865, -0.812445, -0.284587)",0
1.4014,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.827931, -0.137082, 0.543818)","(0.198534, 0.978516, -0.0555913)","(-0.524529, 0.153989, 0.837351)","(0.625916, -0.0829357, 0.775468)","(0.198534, 0.978516, -0.0555913)","(-0.754205, 0.188745, 0.628928)","(0.198534, 0.978516, -0.0555913)","(0, 0, 0)","(-0.68943, -0.700904, -0.182811)","(0, 0, 0)","(-0.601701, 0.251275, -0.758167)","(-0.173469, -0.984465, -0.0271672)","(0.143841, -0.987687, 0.0615102)","(0.00170802, -0.984542, -0.175143)","(0.509175, -0.812159, -0.284847)",0
