time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.9,"(0.002716, -0.0186766, 7.39335e-06)","(-0.071123, 0.978497, 0.193612)","(-0.171995, -0.979652, 0.103439)","(-0.225911, -0.972816, -0.0509287)","(0.00545347, -0.999964, 0.00651561)","(0.181767, -0.95777, 0.222793)","(0.153637, -0.987206, -0.042653)","(-0.0613286, -0.997847, -0.0232421)","(-0.296364, -0.946111, -0.130543)","(-0.0321576, -0.975713, -0.21668)",0
0.933333,"(0.00264658, -0.0162221, 2.44989e-06)","(-0.0492094, 0.978484, 0.20037)","(-0.21182, -0.969469, 0.123536)","(-0.269497, -0.961675, -0.0505221)","(-0.0305817, -0.999529, 0.00251731)","(0.137045, -0.967071, 0.214459)","(0.193507, -0.979476, -0.0564047)","(-0.0604251, -0.996946, -0.0494657)","(-0.340009, -0.922253, -0.183966)","(-0.118916, -0.969651, -0.213624)",0
0.966667,"(0.00139182, -0.0117297, -9.60054e-07)","(-0.0190789, 0.978563, 0.205061)","(-0.27239, -0.956279, 0.106461)","(-0.321607, -0.94447, -0.067415)","(-0.0471818, -0.998862, -0.006943)","(0.101395, -0.966944, 0.233963)","(0.230398, -0.970943, -0.0647082)","(-0.0636, -0.995524, -0.0699048)","(-0.354709, -0.90758, -0.224679)","(-0.190867, -0.961648, -0.196982)",0
1,"(-0.000177932, -0.00728428, -2.45799e-06)","(0.0143035, 0.976901, 0.213212)","(-0.297974, -0.951476, 0.0768386)","(-0.351673, -0.932269, -0.0848591)","(-0.0612158, -0.998119, 0.00321127)","(0.045503, -0.956222, 0.289082)","(0.269341, -0.962712, -0.0253287)","(-0.0889908, -0.993344, -0.0731289)","(-0.285089, -0.930715, -0.229115)","(-0.220572, -0.959457, -0.175472)",0
1.03333,"(-0.00142453, -0.00298746, -3.88478e-06)","(0.0468025, 0.978855, 0.199129)","(-0.311063, -0.950332, -0.0104239)","(-0.361778, -0.925066, -0.115625)","(-0.0974685, -0.99391, 0.051409)","(0.0158131, -0.947861, 0.318292)","(0.289174, -0.956926, 0.0259024)","(-0.131941, -0.990106, -0.0477642)","(-0.193958, -0.958966, -0.206793)","(-0.236783, -0.95777, -0.16313)",0
1.06667,"(-0.00262148, 0.000936258, -5.59031e-06)","(0.0574707, 0.981137, 0.184572)","(-0.294293, -0.951322, -0.0915279)","(-0.307319, -0.939367, -0.152133)","(-0.130027, -0.982922, 0.130218)","(-0.0196978, -0.921832, 0.387089)","(0.261962, -0.961337, 0.0848981)","(-0.168127, -0.985765, -0.000641548)","(-0.0949315, -0.967085, -0.23608)","(-0.243308, -0.945477, -0.216504)",0
1.1,"(-0.00297394, 0.00361314, -7.71391e-06)","(0.0494062, 0.985526, 0.162167)","(-0.263648, -0.952341, -0.153413)","(-0.216356, -0.958277, -0.186801)","(-0.15319, -0.961241, 0.229236)","(-0.0185854, -0.904085, 0.426949)","(0.197893, -0.976013, 0.090753)","(-0.176198, -0.983378, 0.0438395)","(-0.0525647, -0.95241, -0.300253)","(-0.259851, -0.921853, -0.287513)",0
1.13333,"(-0.00297394, 0.00361314, -7.71391e-06)","(0.0337316, 0.98848, 0.147547)","(-0.230909, -0.961453, -0.149295)","(-0.119182, -0.972383, -0.200663)","(-0.157784, -0.939493, 0.304067)","(0.00988683, -0.902537, 0.430499)","(0.145108, -0.984228, 0.101187)","(-0.172837, -0.983005, 0.0618696)","(0.0121822, -0.932333, -0.361396)","(-0.267632, -0.88872, -0.372222)",0
1.16667,"(-0.00297394, 0.00361314, -7.71391e-06)","(0.021191, 0.989255, 0.144659)","(-0.19519, -0.969956, -0.145208)","(-0.0708966, -0.97879, -0.192207)","(-0.161681, -0.926997, 0.338431)","(0.0276347, -0.903892, 0.426868)","(0.125393, -0.986511, 0.105223)","(-0.170125, -0.983768, 0.0570704)","(0.0816342, -0.925018, -0.37105)","(-0.280038, -0.859334, -0.427929)",0
1.2,"(-0.00297394, 0.00361314, -7.71391e-06)","(0.00857224, 0.987349, 0.158331)","(-0.157939, -0.974105, -0.161783)","(-0.0409483, -0.980282, -0.193316)","(-0.159018, -0.920947, 0.355765)","(0.0630082, -0.909814, 0.410205)","(0.127745, -0.984099, 0.123414)","(-0.179383, -0.982467, 0.0507995)","(0.158791, -0.919185, -0.360395)","(-0.272966, -0.834194, -0.479176)",0
1.23333,"(-0.00297394, 0.00361314, -7.71391e-06)","(-0.00525894, 0.982793, 0.184634)","(-0.131042, -0.974417, -0.182589)","(-0.0244555, -0.979979, -0.197594)","(-0.149966, -0.920788, 0.360082)","(0.0823144, -0.917171, 0.3899)","(0.134347, -0.985908, 0.0996841)","(-0.183599, -0.982156, 0.0407602)","(0.1928, -0.915838, -0.352234)","(-0.26235, -0.799011, -0.541067)",0
1.26667,"(-0.00297394, 0.00361314, -7.71391e-06)","(-0.0192008, 0.977895, 0.208212)","(-0.116797, -0.972633, -0.200858)","(-0.0103512, -0.979185, -0.202706)","(-0.124316, -0.923778, 0.362189)","(0.0999525, -0.920565, 0.377584)","(0.149289, -0.987323, 0.0539126)","(-0.187456, -0.981848, 0.0288762)","(0.203771, -0.917105, -0.342631)","(-0.234942, -0.758535, -0.607805)",0
1.3,"(-0.00297394, 0.00361314, -7.71391e-06)","(-0.0294036, 0.974103, 0.224183)","(-0.116814, -0.969366, -0.216065)","(0.00093178, -0.979166, -0.203059)","(-0.0858113, -0.926949, 0.365243)","(0.110412, -0.917722, 0.38157)","(0.164081, -0.986434, 0.00500757)","(-0.184986, -0.982725, 0.00568074)","(0.200124, -0.922581, -0.329841)","(-0.223193, -0.726188, -0.650258)",0
1.33333,"(-0.00248059, -0.000562501, -7.14057e-06)","(-0.0375089, 0.973518, 0.225513)","(-0.12686, -0.966388, -0.223609)","(0.0146016, -0.98203, -0.188159)","(-0.0351887, -0.928148, 0.370544)","(0.124491, -0.918615, 0.37503)","(0.174481, -0.98461, -0.00994564)","(-0.181225, -0.982831, -0.0346666)","(0.193433, -0.927701, -0.319305)","(-0.207896, -0.717472, -0.664841)",0
1.36667,"(-0.00275069, -0.005632, -7.72877e-06)","(-0.041436, 0.974973, 0.218429)","(-0.140758, -0.963816, -0.226378)","(0.0268259, -0.984344, -0.174202)","(0.00551444, -0.927833, 0.372954)","(0.137354, -0.920761, 0.365148)","(0.180522, -0.983448, -0.015576)","(-0.176582, -0.981287, -0.0767795)","(0.18733, -0.931363, -0.312203)","(-0.197841, -0.732729, -0.651128)",0
1.4,"(-0.00323664, -0.0106498, -8.03035e-06)","(-0.0432321, 0.976639, 0.210492)","(-0.152262, -0.964196, -0.217125)","(0.0381581, -0.986002, -0.162311)","(0.0427156, -0.929342, 0.366741)","(0.15061, -0.921964, 0.356789)","(0.18412, -0.982679, -0.0210294)","(-0.168715, -0.979565, -0.109484)","(0.180493, -0.930911, -0.317534)","(-0.175781, -0.723284, -0.667803)",0
1.43333,"(-0.00399055, -0.0151638, -7.61934e-06)","(-0.0429349, 0.976204, 0.212563)","(-0.150532, -0.966547, -0.207669)","(0.0423216, -0.983396, -0.176466)","(0.0787515, -0.933596, 0.349568)","(0.152895, -0.919772, 0.361445)","(0.184808, -0.982254, -0.0319824)","(-0.142227, -0.985361, -0.0939965)","(0.194015, -0.917242, -0.347886)","(-0.123952, -0.633754, -0.763539)",0
1.46667,"(-0.00502441, -0.0177443, -6.9425e-06)","(-0.0430304, 0.971126, 0.234652)","(-0.140794, -0.970034, -0.198017)","(0.0420438, -0.980205, -0.193468)","(0.11532, -0.937867, 0.327271)","(0.145904, -0.919384, 0.365301)","(0.183303, -0.982315, -0.0381797)","(-0.0962137, -0.992377, -0.077006)","(0.208801, -0.902953, -0.375604)","(-0.0727821, -0.531246, -0.844085)",0
1.5,"(-0.00502441, -0.0177443, -6.9425e-06)","(-0.0435991, 0.963298, 0.264869)","(-0.126533, -0.973616, -0.1899)","(0.0403272, -0.978529, -0.202124)","(0.134649, -0.942826, 0.304875)","(0.132441, -0.919055, 0.371211)","(0.183174, -0.983079, -0.00193082)","(-0.0361726, -0.997791, -0.0557111)","(0.226668, -0.885035, -0.406613)","(-0.0394641, -0.39866, -0.916249)",0
1.53333,"(-0.00723991, -0.0185042, -3.53754e-06)","(-0.0451436, 0.956762, 0.287349)","(-0.120313, -0.975921, -0.181942)","(0.0425792, -0.979519, -0.196799)","(0.114351, -0.951898, 0.284278)","(0.125728, -0.915725, 0.381628)","(0.182597, -0.98247, 0.0375722)","(0.00281341, -0.998141, -0.0608831)","(0.238249, -0.880914, -0.408935)","(-0.0239935, -0.387385, -0.921606)",0
1.56667,"(-0.00858031, -0.0163668, -1.56027e-06)","(-0.0473369, 0.953809, 0.296662)","(-0.117881, -0.9772, -0.176589)","(0.05141, -0.980401, -0.190188)","(0.0658208, -0.962321, 0.263829)","(0.126194, -0.90932, 0.396499)","(0.182832, -0.980157, 0.0765774)","(0.0248841, -0.992981, -0.11563)","(0.250278, -0.887574, -0.386746)","(0.0146193, -0.335261, -0.942012)",0
1.6,"(-0.0101176, -0.0122701, 2.59947e-07)","(-0.0487424, 0.948768, 0.312192)","(-0.118475, -0.977119, -0.17664)","(0.0653521, -0.982668, -0.173471)","(0.00870549, -0.970962, 0.239075)","(0.137144, -0.90193, 0.409529)","(0.190509, -0.979318, 0.0681335)","(0.0199676, -0.984812, -0.172469)","(0.255432, -0.902298, -0.347294)","(0.0896583, -0.319165, -0.943448)",0
1.63333,"(-0.0117257, -0.00746511, 1.82424e-06)","(-0.0481777, 0.942336, 0.331183)","(-0.118829, -0.976676, -0.178838)","(0.0839514, -0.984611, -0.153276)","(-0.0361204, -0.973883, 0.224159)","(0.150128, -0.899244, 0.41088)","(0.199425, -0.977911, 0.0626154)","(-0.0151807, -0.998528, -0.0520743)","(0.254355, -0.91168, -0.322712)","(0.169806, -0.311499, -0.934951)",0
1.66667,"(-0.0131763, -0.00146383, 3.6636e-06)","(-0.0462101, 0.941495, 0.333843)","(-0.121773, -0.975901, -0.181079)","(0.106525, -0.983916, -0.143397)","(-0.0636323, -0.971765, 0.227207)","(0.159908, -0.898244, 0.409374)","(0.204638, -0.977921, 0.0423627)","(-0.103057, -0.961999, 0.252859)","(0.256387, -0.895501, -0.363791)","(0.267339, -0.329842, -0.905391)",0
1.7,"(-0.0142807, 0.00487598, 7.68961e-07)","(-0.0474477, 0.94531, 0.322704)","(-0.130231, -0.97293, -0.190913)","(0.124617, -0.981156, -0.14766)","(-0.0943856, -0.963118, 0.251981)","(0.162073, -0.899145, 0.406534)","(0.174239, -0.984699, 0.00273353)","(-0.175373, -0.871063, 0.458797)","(0.274861, -0.70146, -0.657575)","(0.290413, -0.580969, -0.760352)",0
1.73333,"(-0.0147859, 0.00942606, -1.43024e-06)","(-0.0521164, 0.952736, 0.299297)","(-0.135429, -0.96759, -0.21314)","(0.137184, -0.976246, -0.167703)","(-0.149567, -0.933103, 0.32703)","(0.158383, -0.902031, 0.401567)","(0.159038, -0.986544, -0.0379089)","(-0.233996, -0.81574, 0.528975)","(0.255241, -0.620814, -0.741244)","(0.218174, -0.77368, -0.594828)",0
1.76667,"(-0.0147859, 0.00942606, -1.43024e-06)","(-0.0675074, 0.958718, 0.276229)","(-0.131861, -0.980304, -0.147029)","(0.146855, -0.973155, -0.177207)","(-0.190777, -0.768559, 0.610672)","(0.167857, -0.918418, 0.358234)","(0.144368, -0.9874, -0.0648015)","(-0.270759, -0.862935, 0.426653)","(0.240115, -0.66077, -0.711146)","(0.096674, -0.944116, -0.315118)",0
1.8,"(-0.0147859, 0.00942606, -1.43024e-06)","(-0.0803549, 0.965229, 0.248747)","(-0.130411, -0.991424, 0.00849867)","(0.143398, -0.97191, -0.186621)","(-0.186605, -0.413588, 0.891136)","(0.180179, -0.931976, 0.314572)","(0.16388, -0.984993, -0.0541495)","(-0.29927, -0.89123, 0.340804)","(0.217827, -0.898124, -0.382001)","(0.0105401, -0.962678, -0.270444)",0
