time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.1011,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0406498, 0.903471, 0.426716)","(-0.209388, -0.942555, -0.260283)","(0.091544, -0.958433, -0.270234)","(0.119778, -0.944876, 0.304735)","(0.168345, -0.921892, 0.348963)","(0.0861411, -0.996161, -0.0155845)","(-0.170281, -0.985349, 0.00960594)","(-0.00864918, -0.967108, -0.25422)","(-0.0156824, -0.957982, -0.286401)",0
1.13447,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0409308, 0.904652, 0.424181)","(-0.21014, -0.94296, -0.258201)","(0.0930302, -0.958297, -0.270208)","(0.120477, -0.945314, 0.303097)","(0.17103, -0.921329, 0.349144)","(0.0876666, -0.996033, -0.0152745)","(-0.170235, -0.985376, 0.0073403)","(-0.00904666, -0.966709, -0.255718)","(-0.0179603, -0.957039, -0.289403)",0
1.16783,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0411628, 0.906661, 0.419847)","(-0.210102, -0.943856, -0.254937)","(0.0946049, -0.958109, -0.270327)","(0.120055, -0.945804, 0.30173)","(0.173614, -0.920897, 0.349007)","(0.090655, -0.995816, -0.0114729)","(-0.170519, -0.985344, 0.00457944)","(-0.010633, -0.966451, -0.256632)","(-0.0223303, -0.95615, -0.292026)",0
1.2012,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0418969, 0.909885, 0.412739)","(-0.208111, -0.945728, -0.249575)","(0.0978516, -0.957895, -0.269929)","(0.117484, -0.946463, 0.300674)","(0.175875, -0.921121, 0.347282)","(0.0961457, -0.995359, -0.0040073)","(-0.171761, -0.985136, 0.0024104)","(-0.0146898, -0.966461, -0.256391)","(-0.0300186, -0.955909, -0.292124)",0
1.23457,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0424521, 0.912371, 0.407158)","(-0.206061, -0.947629, -0.244006)","(0.100949, -0.957844, -0.268969)","(0.114157, -0.947024, 0.30019)","(0.177147, -0.921541, 0.345517)","(0.101941, -0.994778, 0.0050375)","(-0.173659, -0.984804, 0.00215459)","(-0.0198887, -0.967315, -0.252798)","(-0.037375, -0.956268, -0.290095)",0
1.26793,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0426905, 0.914631, 0.402029)","(-0.204295, -0.949609, -0.237712)","(0.103249, -0.958201, -0.266814)","(0.110663, -0.94767, 0.299459)","(0.177941, -0.921711, 0.344653)","(0.106994, -0.994168, 0.0135101)","(-0.176285, -0.984335, 0.00297558)","(-0.0253551, -0.968182, -0.248958)","(-0.0446628, -0.956948, -0.286804)",0
1.3013,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0420745, 0.915909, 0.399175)","(-0.204774, -0.95074, -0.232725)","(0.103454, -0.958765, -0.264702)","(0.108774, -0.948266, 0.298261)","(0.178717, -0.921098, 0.345887)","(0.109256, -0.993821, 0.0195883)","(-0.178066, -0.984012, 0.00360829)","(-0.0303074, -0.968801, -0.245981)","(-0.0480171, -0.95747, -0.28451)",0
1.33467,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.041301, 0.917215, 0.396246)","(-0.205539, -0.951487, -0.228968)","(0.103304, -0.959119, -0.263475)","(0.107642, -0.949158, 0.295826)","(0.179364, -0.920606, 0.346862)","(0.109886, -0.993683, 0.0227777)","(-0.179147, -0.983814, 0.00406729)","(-0.0366688, -0.968449, -0.246501)","(-0.0485601, -0.95787, -0.283068)",0
1.36803,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0401695, 0.917638, 0.395381)","(-0.207071, -0.951474, -0.227639)","(0.102799, -0.959289, -0.263055)","(0.107493, -0.949793, 0.293836)","(0.179853, -0.920233, 0.347599)","(0.109482, -0.993715, 0.0233511)","(-0.17906, -0.983829, 0.00428143)","(-0.0437065, -0.967837, -0.247752)","(-0.0442399, -0.958408, -0.281952)",0
1.4014,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0385544, 0.91767, 0.395468)","(-0.209067, -0.950948, -0.22801)","(0.101404, -0.959413, -0.263141)","(0.107167, -0.950316, 0.292259)","(0.179816, -0.920081, 0.348019)","(0.108664, -0.993815, 0.0229046)","(-0.178841, -0.983864, 0.00522084)","(-0.0493018, -0.967096, -0.24959)","(-0.0383288, -0.959057, -0.280607)",0
